sentence_id,psa_id,Domain,source_text,token_count,Source,status
psa_2026_000001_s01,psa_2026_000001,Governance,"The Commission reminds all voters that taking photographs or recording images of marked ballot papers inside the polling booth is strictly prohibited and constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016.",39,https://www.iebc.or.ke/news/?PUBLIC_NOTICE,awaiting_nllb_seed
psa_2026_000001_s02,psa_2026_000001,Governance,"Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence.",41,https://www.iebc.or.ke/news/?PUBLIC_NOTICE,awaiting_nllb_seed
psa_2026_000001_s03,psa_2026_000001,Governance,The offence is punishable by a fine not exceeding KSh 1 m,12,https://www.iebc.or.ke/news/?PUBLIC_NOTICE,awaiting_nllb_seed
psa_2026_000002_s01,psa_2026_000002,Governance,"Submit your memoranda for the Election Campaign Financing Regulations and the Election Campaign Contribution, Spending Limits and Authorised Expenditures.",19,https://www.iebc.or.ke/news/?Submit_your_memoranda,awaiting_nllb_seed
psa_2026_000002_s02,psa_2026_000002,Governance,"The draft documents are available on the Commission's website: https://bit.ly/4eQWFQE Deadline: Wednesday, 15th July 2026.",15,https://www.iebc.or.ke/news/?Submit_your_memoranda,awaiting_nllb_seed
psa_2026_000002_s03,psa_2026_000002,Governance,"Memoranda and submissions may be sent to lpa@iebc.or.ke or hand delivered to the Customer Experience Centre, Anniversary Towers, Ground Floor, or any Commission office across the country. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",31,https://www.iebc.or.ke/news/?Submit_your_memoranda,awaiting_nllb_seed
psa_2026_000003_s01,psa_2026_000003,Governance,Tomorrow is Voting Day15th Jul 2026.,6,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,awaiting_nllb_seed
psa_2026_000003_s02,psa_2026_000003,Governance,The people of Ol Kalou Constituency in Nyandarua County will head to the polls to elect their Member of the National Assembly in the #16thJulyByElection.,25,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,awaiting_nllb_seed
psa_2026_000003_s03,psa_2026_000003,Governance,Polling stations will be open from 6:00 a.m. to 5:00 p.m.,11,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,awaiting_nllb_seed
psa_2026_000003_s04,psa_2026_000003,Governance,"To vote, you must present your original National Identity Card or a valid Kenyan passport at your designated polling station.",20,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,awaiting_nllb_seed
psa_2026_000003_s05,psa_2026_000003,Governance,Any time lost during the opening of polling stations will be compensated at closing.,14,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,awaiting_nllb_seed
psa_2026_000003_s06,psa_2026_000003,Governance,All voters who are in the queue by 5:00 p.m. will be allowed to vote.,15,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,awaiting_nllb_seed
psa_2026_000003_s07,psa_2026_000003,Governance,"For accurate, timely and verified election inf",7,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,awaiting_nllb_seed
psa_2026_000004_s01,psa_2026_000004,Governance,"To vote, you MUST PRESENT YOUR ORIGINAL NATIONAL IDENTITY CARD or a VALID KENYAN PASSPORT at your designated polling station.",20,https://www.iebc.or.ke/news/?Voting_Procedure,awaiting_nllb_seed
psa_2026_000004_s02,psa_2026_000004,Governance,"For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByelections #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",25,https://www.iebc.or.ke/news/?Voting_Procedure,awaiting_nllb_seed
psa_2026_000005_s01,psa_2026_000005,Governance,IEBC Electoral Code Committee Finds Nakuru Town East MP Guilty of Code of Conduct Breach14th Jul 2026.,17,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,awaiting_nllb_seed
psa_2026_000005_s02,psa_2026_000005,Governance,"The IEBC Electoral Code of Conduct Enforcement Committee, chaired by Commissioner Dr.",12,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,awaiting_nllb_seed
psa_2026_000005_s03,psa_2026_000005,Governance,"Alutalala Mukhwana, has found the Member of the National Assembly for Nakuru Town East, Hon.",15,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,awaiting_nllb_seed
psa_2026_000005_s04,psa_2026_000005,Governance,"David Gikaria, guilty of breaching the Electoral Code of Conduct.",10,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,awaiting_nllb_seed
psa_2026_000005_s05,psa_2026_000005,Governance,"The Committee imposed several sanctions, including directing the legislator to issue a public apology and formally retract the offending remarks.",20,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,awaiting_nllb_seed
psa_2026_000005_s06,psa_2026_000005,Governance,"He was also warned against committing similar violations in future, with the Committee cautioning that any",16,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,awaiting_nllb_seed
psa_2026_000006_s01,psa_2026_000006,Governance,Accreditation Open for Election Observers and Media Practitioners for Ol-Kalou By-Election4th Jun 2026.,13,https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,awaiting_nllb_seed
psa_2026_000006_s02,psa_2026_000006,Governance,PUBLIC NOTICE The Independent Electoral and Boundaries Commission (IEBC) invites applications from eligible organizations to be accredited as: 1.,19,https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,awaiting_nllb_seed
psa_2026_000006_s03,psa_2026_000006,Governance,"Media Practitioners for the Ol-Kalou Constituency Member of National Assembly (MNA) By-Election scheduled for Thursday, 16th July 2026.",18,https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,awaiting_nllb_seed
psa_2026_000006_s04,psa_2026_000006,Governance,"How to Apply: Submit your application via the IEBC Accreditation Management System (AMS): https://ams.iebc.or.ke Application Deadline: Tuesday, 30th June 2026 at 5.00 p.m.",23,https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,awaiting_nllb_seed
psa_2026_000007_s01,psa_2026_000007,Governance,Public Notice: No Photos or Videos Allowed Inside Polling Booths14th May 2026.,12,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,awaiting_nllb_seed
psa_2026_000007_s02,psa_2026_000007,Governance,Public Notice DO NOT take Photos or Record videos in the Polling Booth.,13,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,awaiting_nllb_seed
psa_2026_000007_s03,psa_2026_000007,Governance,The secrecy and sanctity of the vote must be preserved at all times.,13,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,awaiting_nllb_seed
psa_2026_000007_s04,psa_2026_000007,Governance,Photography and Video Recording is strictly PROHIBITED in the POLLING BOOTH.,11,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,awaiting_nllb_seed
psa_2026_000007_s05,psa_2026_000007,Governance,"Doing so constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016.",18,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,awaiting_nllb_seed
psa_2026_000007_s06,psa_2026_000007,Governance,"Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purpose",31,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,awaiting_nllb_seed
psa_2026_000010_s01,psa_2026_000010,Governance,Distance is not a barrier to Democracy...21st Apr 2026.,9,https://www.iebc.or.ke/news/?Distance_is_not_a_barrier_to_Democracy...,awaiting_nllb_seed
psa_2026_000010_s02,psa_2026_000010,Governance,"Distance is not a barrier to Democracy...A return trip of approximately 1,060 kilometres from Nairobi, through punishing terrain and a hostile climate, lies a truth we often forget: Every Kenyan voice matters.",32,https://www.iebc.or.ke/news/?Distance_is_not_a_barrier_to_Democracy...,awaiting_nllb_seed
psa_2026_000010_s03,psa_2026_000010,Governance,Alutalala Mukhwana is currently in Marsabit County to support our dedicated Independent Electoral and Boundaries Commission(IEBC) staff and engage with the resilient people of this vast region.,27,https://www.iebc.or.ke/news/?Distance_is_not_a_barrier_to_Democracy...,awaiting_nllb_seed
psa_2026_000010_s04,psa_2026_000010,Governance,"Seeing the ""forgotten"" corners like Saru finally reached, and residents registered, reminds us that no community is too far and no dista",22,https://www.iebc.or.ke/news/?Distance_is_not_a_barrier_to_Democracy...,awaiting_nllb_seed
psa_2026_000012_s01,psa_2026_000012,Governance,14 days to the end of Enhanced Continuous Voter Registration (ECVR2026).14th Apr 2026. 14 days to the end of Enhanced Continuous Voter Registration (#ECVR2026).,24,https://www.iebc.or.ke/news/?14_days_to_the_end_of_Enhanced_Continuous_Voter_Registration_(ECVR2026).,awaiting_nllb_seed
psa_2026_000012_s02,psa_2026_000012,Governance,Enhanced Continuous Voter Registration (#ECVR2026) will END on Tuesday 28th April 2026.,12,https://www.iebc.or.ke/news/?14_days_to_the_end_of_Enhanced_Continuous_Voter_Registration_(ECVR2026).,awaiting_nllb_seed
psa_2026_000012_s03,psa_2026_000012,Governance,You do not need to travel to your home county to register.,12,https://www.iebc.or.ke/news/?14_days_to_the_end_of_Enhanced_Continuous_Voter_Registration_(ECVR2026).,awaiting_nllb_seed
psa_2026_000012_s04,psa_2026_000012,Governance,"The Commission has deployed open kits, which allow a citizen to register as a voter for any polling station in Kenya from the registration center near you.",27,https://www.iebc.or.ke/news/?14_days_to_the_end_of_Enhanced_Continuous_Voter_Registration_(ECVR2026).,awaiting_nllb_seed
psa_2026_000012_s05,psa_2026_000012,Governance,Voter registration is NOT currently taking place in electoral areas with scheduled by-elections or ongoing elec,16,https://www.iebc.or.ke/news/?14_days_to_the_end_of_Enhanced_Continuous_Voter_Registration_(ECVR2026).,awaiting_nllb_seed
