pair_id,psa_id,Domain,source_lang,target_lang,source_text,target_text,method,confidence,verified,Source,Metadata
guz_tpl_000001,psa_2026_000001,Governance,en,guz,"The Commission reminds all voters that taking photographs or recording images of marked ballot papers inside the polling booth is strictly prohibited and constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016.",IEBC nigo ekoiria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Abanto bonsi nigo barekania gotiga amajambo atari a goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?PUBLIC_NOTICE,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000001_s01"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.686764+00:00""}"
guz_tpl_000002,psa_2026_000001,Governance,en,guz,"Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence.","ADVISORY. Public Service Commission nigo ekoiria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Rituko: 7 February 2026. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?PUBLIC_NOTICE,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000001_s02"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.686764+00:00""}"
guz_tpl_000003,psa_2026_000001,Governance,en,guz,The offence is punishable by a fine not exceeding KSh 1 m,ADVISORY. EACC nigo ekoiria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Kobwata gotanga 19 August 2026. Abanto bonsi nigo barekania gotiga amajambo atari a goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?PUBLIC_NOTICE,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000001_s03"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.686764+00:00""}"
guz_tpl_000004,psa_2026_000002,Governance,en,guz,"Submit your memoranda for the Election Campaign Financing Regulations and the Election Campaign Contribution, Spending Limits and Authorised Expenditures.",Huduma Kenya nigo ekoransia abanto bonsi go korusia ebirengo viao goika portal ya goseka. Korusia goika chinsa 7. Amachiko ande nigo agochia goika chinsa chia goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Submit_your_memoranda,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000002_s01"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.686764+00:00""}"
guz_tpl_000005,psa_2026_000002,Governance,en,guz,"The draft documents are available on the Commission's website: https://bit.ly/4eQWFQE Deadline: Wednesday, 15th July 2026.",Huduma Kenya nigo ekoragereria abanto bonsi go korusia ebirengo viao goika portal ya goseka. Rituko: 20 June 2026. Amachiko ande nigo agochia goika chinsa chia goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Submit_your_memoranda,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000002_s02"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.686764+00:00""}"
guz_tpl_000006,psa_2026_000002,Governance,en,guz,"Memoranda and submissions may be sent to lpa@iebc.or.ke or hand delivered to the Customer Experience Centre, Anniversary Towers, Ground Floor, or any Commission office across the country. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",iebc nigo ekoragereria abarori go korusia ebirengo viao goika portal ya goseka. Rituko: 18 February 2026. Gotiga gokora nigo gokonya amachiko a chinsa.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Submit_your_memoranda,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000002_s03"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.686764+00:00""}"
guz_tpl_000007,psa_2026_000003,Governance,en,guz,Tomorrow is Voting Day15th Jul 2026.,"ADVISORY. Huduma Kenya nigo ekoiria abarori go korusia ebirengo viao goika portal ya goseka. Rituko: 8 November 2026. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000003_s01"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.686764+00:00""}"
guz_tpl_000008,psa_2026_000003,Governance,en,guz,The people of Ol Kalou Constituency in Nyandarua County will head to the polls to elect their Member of the National Assembly in the #16thJulyByElection.,Huduma Kenya nigo ekoransia abanto bonsi go korusia ebirengo viao goika portal ya goseka. Kobwata gotanga 21 August 2026. Amachiko ande nigo agochia goika chinsa chia goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000003_s02"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000009,psa_2026_000003,Governance,en,guz,Polling stations will be open from 6:00 a.m. to 5:00 p.m.,Huduma Kenya nigo ekoiria abanto ba chinsa go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Amachiko ande nigo agochia goika chinsa chia goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000003_s03"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000010,psa_2026_000003,Governance,en,guz,"To vote, you must present your original National Identity Card or a valid Kenyan passport at your designated polling station.",ADVISORY. IEBC nigo ekoiria abanto ba chinsa go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Gotiga gokora nigo gokonya amachiko a chinsa.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000003_s04"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000011,psa_2026_000003,Governance,en,guz,Any time lost during the opening of polling stations will be compensated at closing.,"Public Service Commission nigo ekoiria abanto ba chinsa go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Goika amachiko male, genda website ya goseka na gokora social media egoseka buna.",guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000003_s05"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000012,psa_2026_000003,Governance,en,guz,All voters who are in the queue by 5:00 p.m. will be allowed to vote.,Huduma Kenya nigo ekoransia abanto bonsi go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Gotiga gokora nigo gokonya amachiko a chinsa.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000003_s06"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000013,psa_2026_000003,Governance,en,guz,"For accurate, timely and verified election inf",Kenya Revenue Authority nigo ekoiria abanto ba chinsa go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Amachiko ande nigo agochia goika chinsa chia goseka.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000003_s07"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
guz_tpl_000014,psa_2026_000004,Governance,en,guz,"To vote, you MUST PRESENT YOUR ORIGINAL NATIONAL IDENTITY CARD or a VALID KENYAN PASSPORT at your designated polling station.",Kenya Revenue Authority nigo ekoiria abakori ba emebero go korusia ebirengo viao goika portal ya goseka. Ororagererio rwa rero rwatangire buna. Gotiga gokora nigo gokonya amachiko a chinsa.,guz_psa_template,0.4,false,https://www.iebc.or.ke/news/?Voting_Procedure,"{""synthetic"": true, ""method"": ""guz_psa_template"", ""match_mode"": ""domain_fallback"", ""sentence_id"": ""psa_2026_000004_s01"", ""human_reviewed"": false, ""silver"": true, ""generated_at"": ""2026-08-11T19:06:39.687815+00:00""}"
