psa_id,domain,title,text,language,source_url,published_at,urgency,organization,metadata
psa_2026_000001,governance,PUBLIC NOTICE15th Jul 2026,"The Commission reminds all voters that taking photographs or recording images of marked ballot papers inside the polling booth is strictly prohibited and constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence. The offence is punishable by a fine not exceeding KSh 1 million, or imprisonment for a term not exceeding three years, or both. The Commission urges all voters to comply with this legal requirement in order to protect the secrecy and integrity of the ballot. For accurate and up-to-date information, please visit our official website (https://iebc.or.ke) and follow our verified social media platforms (@IEBCKenya). #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?PUBLIC_NOTICE,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000002,governance,EVERY VOTE MATTERS. EVERY LAW MATTERS.15th Jul 2026,"EVERY VOTE MATTERS. EVERY LAW MATTERS. IEBC is committed to protecting every citizen's constitutional right to participate in a free, fair and peaceful by-election. The Commission has observed incidents that may undermine the integrity of the electoral process. Any individual, candidate, campaign team, political party or public officer found violating the Electoral Code of Conduct will face enforcement action. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?EVERY_VOTE_MATTERS._EVERY_LAW_MATTERS.,,medium,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000003,governance,Submit your memoranda15th Jul 2026,"Submit your memoranda for the Election Campaign Financing Regulations and the Election Campaign Contribution, Spending Limits and Authorised Expenditures. The draft documents are available on the Commission's website: https://bit.ly/4eQWFQE Deadline: Wednesday, 15th July 2026. Memoranda and submissions may be sent to lpa@iebc.or.ke or hand delivered to the Customer Experience Centre, Anniversary Towers, Ground Floor, or any Commission office across the country. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?Submit_your_memoranda,,high,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000004,governance,Tomorrow is Voting Day15th Jul 2026,"Tomorrow is Voting Day! The people of Ol Kalou Constituency in Nyandarua County will head to the polls to elect their Member of the National Assembly in the #16thJulyByElection. Polling stations will be open from 6:00 a.m. to 5:00 p.m. To vote, you must present your original National Identity Card or a valid Kenyan passport at your designated polling station. Any time lost during the opening of polling stations will be compensated at closing. All voters who are in the queue by 5:00 p.m. will be allowed to vote. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000005,governance,Voting Procedure15th Jul 2026,"To vote, you MUST PRESENT YOUR ORIGINAL NATIONAL IDENTITY CARD or a VALID KENYAN PASSPORT at your designated polling station. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByelections #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?Voting_Procedure,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000006,governance,Sample of correctly marked ballot paper15th Jul 2026,"Sample of correctly marked ballot paper for the #16thJulyByElection. Use one mark only on the ballot paper. For accurate and up-to-date information, please visit the IEBC official website and follow our verified social media platforms (@IEBCKenya). Your Vote, Your Voice. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC",en,https://www.iebc.or.ke/news/?Sample_of_correctly_marked_ballot_paper,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000008,education,"IEBC, HURIA Explore Partnership to Strengthen Voter Education and Youth Civic Participation14th Jul 2026","The Independent Electoral and Boundaries Commission (IEBC), today led by Vice Chairperson Fahima Araphat Abdalla, OGW, held a meeting with Human Rights Agenda (HURIA), a human rights organization based in Kenya's Coast region. The purpose of the meeting was to explore areas of collaboration that complement the Commission's constitutional mandate. Speaking during the meeting, the Vice Chairperson thanked the HURIA team for seeking to partner with the Commission in ensuring that young people are actively involved in educating their peers on issues that matter to them, particularly civic participation, inclusion and voter registration. She reaffirmed the Commission's commitment to strengthening collaboration with HURIA to enhance voter education initiatives at the grassroots, ensuring that young people and all eligible Kenyans receive accurate and timely information to enable them to make informed electoral decisions. She emphasized that voting is a constitutional right of every Kenyan and that providing voter education remains a core mandate of the IEBC. HURIA is currently preparing to implement a five-year programme, Rebuilding the Youth–State Social Contract as a Foundation for Enduring Security, Stability and Democratic Resilience at the Coast , which seeks to strengthen trust between young people and public institutions. The programme adopts a human rights-based approach to strengthening democratic resilience by addressing the underlying drivers of mistrust, exclusion, insecurity and violence affecting young people. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,"https://www.iebc.or.ke/news/?IEBC,_HURIA_Explore_Partnership_to_Strengthen_Voter_Education_and_Youth_Civic_Participation",,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000009,governance,IEBC Electoral Code Committee Finds Nakuru Town East MP Guilty of Code of Conduct Breach14th Jul 2026,"The IEBC Electoral Code of Conduct Enforcement Committee, chaired by Commissioner Dr. Alutalala Mukhwana, has found the Member of the National Assembly for Nakuru Town East, Hon. David Gikaria, guilty of breaching the Electoral Code of Conduct. The Committee imposed several sanctions, including directing the legislator to issue a public apology and formally retract the offending remarks. He was also warned against committing similar violations in future, with the Committee cautioning that any subsequent breaches will attract more severe penalties, including the possibility of being barred from participating in elective politics. Additionally, Hon. Gikaria has been ordered to pay a fine of KSh 2.5 million within 48 hours. The Committee has also referred the matter to the Office of the Director of Public Prosecutions (ODPP) for investigation into possible offences under the Election Offences Act. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,,high,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000010,governance,Press Release -  Update on Preparedness for the 16th July 2026 Ol Kalou By-Election14th Jul 2026,"The Commission wishes to inform the nation that all preparations for the by-election scheduled for Thursday, 16th July 2026, to fill the position of Member of National Assembly for Ol Kalou Constituency in Nyandarua County are progressing as planned. All registered voters in Ol Kalou Constituency MUST present their national identity card or valid passport on polling day, as these remain the primary identification documents required for voting. The Register of Voters for the Ol Kalou Constituency by-election remains secure. Claims that the Register has been manipulated are false, misleading and unsupported by evidence. The Commission condemns such misleading claims and urges all stakeholders to refrain from spreading misinformation and disinformation. Polling stations will open at 6:00 a.m. and close at 5:00 p.m. Where polling commences later than scheduled due to unforeseen circumstances, the lost time will be compensated to ensure that voters receive the full polling period. All voters who are in the queue by 5:00 p.m. will be allowed to cast their ballots. Taking photographs or recording images of marked ballot papers inside the polling booth is strictly prohibited and constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. The Commission, in close collaboration with the National Police Service, has put in place adequate security arrangements to ensure a peaceful and orderly electoral process. Two uniformed police officers will be deployed at every polling station, while additional officers will be stationed at tallying centres to maintain law and order and safeguard the integrity of the election. All political parties, candidates, agents and supporters are reminded that compliance with the Electoral Code of Conduct is mandatory. The Commission will not hesitate to invoke all enforcement measures provided for under the Electoral Code of Conduct without fear or favour. The Commission's investigation team is actively investigating all alleged violations with a view to fully enforcing the Code. The Commission calls upon voters, political parties, candidates, observers, civil society organizations and members of the public to report any electoral offence or breach of the Electoral Code of Conduct. Members of the public are encouraged to REPORT and PROVIDE evidence of any electoral malpractice to the Commission, the National Police Service or any other authorized investigative agency. The Commission remains steadfast in its commitment to delivering a peaceful, free, fair, transparent and credible election whose outcome reflects the freely expressed will of the people. Registered voters of Ol Kalou Constituency: Your vote is your voice. Turn out in large numbers, cast your ballot and peacefully shape the future of your constituency. Download: https://bit.ly/3R5P5sh #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?Press_Release_-__Update_on_Preparedness_for_the_16th_July_2026_Ol_Kalou_By-Election,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000011,governance,Launch of Pre-Election Disputes Resolution Report for 2022 General Election and Case Digest for 2022 General Election8th Jul 2026,Launch of Pre-Election Disputes Resolution Report for 2022 General Election & Case Digest for 2022 General Election Date: Thursday 9th July 2026 Live on: Facebook: Facebook.com/IEBCKenya YouTube: Youtube.com/IEBCPage Theme: Path to the Polls : Electoral Integrity Through Justice and Dispute Resolution. #CaseDigest2022GE #Pre-ElectionDRR #16thJulyByElection #KuraYakoSautiYako,en,https://www.iebc.or.ke/news/?Launch_of_Pre-Election_Disputes_Resolution_Report_for_2022_General_Election_and_Case_Digest_for_2022_General_Election,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000012,governance,IEBC Launches Strategic Plan 2024 2029 and Election Operations Plan 2025 202724th Jun 2026,"Today marks a significant milestone in Kenya’s democratic space as the Independent Electoral and Boundaries Commission (IEBC) launches the Strategic Plan 2024–2029 and Election Operations Plan (EOP) 2025–2027, setting a clear roadmap towards stronger electoral governance, institutional excellence, and enhanced public trust. The Plan, themed “Inclusion and Participation in Deepening Democracy in Kenya,” sets out the Commission’s priorities and strategic actions aimed at strengthening electoral management, enhancing citizen participation, promoting equitable representation, and building institutional resilience. The IEBC Strategic Plan 2024–2029 provides a clear roadmap for strengthening Kenya’s electoral democracy over the next five years. Developed through an inclusive and participatory process, the Plan outlines the Commission’s priorities, strategic actions, and measurable targets aimed at enhancing transparency, accountability, and public confidence in the electoral system. The Chief Guest, Martha Koome, FCIArb, EGH, Chief Justice of the Republic of Kenya , said she was honoured and privileged to join the Independent Electoral and Boundaries Commission (IEBC) for the launch of the Strategic Plan 2024–2029 and the Election Operations Plan 2025–2027, which is an extract of the Strategic Plan detailing how the various strategies will be implemented. She noted that the launch marks a significant milestone in Kenya’s collective journey towards strengthening democracy, enhancing electoral governance, and deepening citizen participation. Chief Justice Koome observed that the Strategic Plan comes at a critical time in the nation’s democratic development. She emphasized that elections are not merely events conducted on polling day but constitute a continuous process that requires strong institutions, adequate resources, effective planning, and a sound and enabling legal framework. She expressed encouragement that the Strategic Plan identifies strengthening the electoral legal framework as a key strategic priority. According to the Chief Justice, harmonizing electoral laws and regulations is both timely and necessary to eliminate inconsistencies, address legal gaps identified during previous electoral cycles, and provide greater clarity to all electoral stakeholders. She noted the need to ensure that electoral timelines, dispute resolution mechanisms, and election management processes are clearly defined and understood. The Chief Justice further noted that the Strategic Plan recognizes the growing role of technology in electoral management. She observed that technology has become an indispensable tool for enhancing efficiency, transparency, and accountability in electoral processes. However, she cautioned that technology alone cannot guarantee credibility and that its effectiveness depends on robust legal safeguards, institutional oversight, and the willingness of all stakeholders to embrace and trust technological systems. Koome emphasized the need for legal frameworks that adequately address data protection, cybersecurity, transparency in electoral technologies, and accountability in electronic electoral processes. She noted that the Commission must provide clear guidance on the deployment, management, and auditing of electoral technologies to ensure innovation strengthens rather than undermines public confidence in elections. She commended the Plan’s commitment to inclusion and equal political participation, noting that the strength of any democracy is measured not only by the conduct of elections but also by the extent to which all citizens can participate meaningfully in the electoral process. She emphasized that women, youth, persons with disabilities, minority communities, and other marginalized groups must be active participants and beneficiaries of democracy. The Chief Justice underscored the importance of public trust, noting that citizens must have confidence that electoral processes are fair, transparent, inclusive, and governed by laws that are applied consistently and impartially. She stated that public trust cannot be demanded but must be earned through integrity, accountability, and continuous improvement. Koome further observed that strengthening democracy in Kenya is not the responsibility of the Commission alone but a national endeavour requiring commitment, cooperation, and goodwill from all sectors of society. She called on all stakeholders to work together in building an electoral system that delivers elections that are free, fair, trusted, inclusive, peaceful, and reflective of the sovereign will of the people. In conclusion, the Chief Justice stated that the true measure of the Strategic Plan will not be found solely in the activities undertaken or resources invested, but in the confidence it inspires among citizens and the extent to which it strengthens the credibility of elections in Kenya. She called upon all Kenyans to support the Commission and help create a safe and conducive environment for nurturing and strengthening the country’s democracy. IEBC Chairperson Erastus Ethekon said that by unveiling these two strategic documents, the Commission has set in motion a deliberate, transparent and accountable journey towards the 2027 General Election. He noted that the launch reaffirms the Commission’s constitutional mandate, institutional resolve and solemn duty to protect and uphold the sovereign will of the people of Kenya. The IEBC Strategic Plan is anchored on the theme, “Inclusion and Participation in Deepening Democracy in Kenya,” under the clarion call, “Your Vote, Your Voice – Kura Yako, Sauti Yako.” It sets out the Commission’s vision of an electoral management body that is credible, trusted, responsive, and firmly committed to delivering electoral processes that are inclusive, transparent, efficient and accountable. The Strategic Plan is the product of extensive consultations and contributions from stakeholders who helped shape a roadmap that reflects the aspirations of the Kenyan people and gives practical expression to the national values of participation, inclusivity, transparency, accountability and good governance. The Plan identifies four key strategic priorities: effective management of elections, citizen engagement and participation, equitable representation, and strengthened institutional governance. These priorities will guide every decision, reform and action undertaken by the Commission over the next five years. A key component of the launch is the Election Operations Plan 2025–2027. While the Strategic Plan provides the vision and direction, the Election Operations Plan provides the pathway to implementation. It outlines the activities, timelines, responsibilities and milestones that will guide the Commission’s preparations for the 2027 General Election. The Chairperson stated that the Plan demonstrates the Commission’s commitment to early planning, institutional preparedness, transparency and accountability. He emphasized that credible elections do not happen by chance but are built deliberately through careful preparation, sound planning, professional execution and unwavering fidelity to the Constitution and the law. Ethekon assured Kenyans that the Commission has listened to their expectations, reflected on lessons from previous electoral cycles and considered recommendations from election observation missions, court decisions, post-election evaluations and stakeholder engagements. He noted that these lessons have informed the reforms, priorities and operational improvements contained in the documents launched today. He further pledged that the Commission will safeguard the integrity of the electoral process, protect the secrecy and sanctity of every vote, and uphold the sovereign will of the people of Kenya. He expressed the Commission’s desire that when the story of the 2027 General Election is written, Kenyans will say that their Electoral Commission prepared diligently, acted impartially, rose to the occasion and faithfully discharged its constitutional mandate. The Chairperson observed that the success of any election is not the responsibility of the Commission alone. He emphasized that democracy is a shared responsibility whose strength depends on the commitment of all actors, including political parties, candidates, state institutions, the media, civil society, development partners and citizens. He noted that the ballot remains the highest expression of the sovereign will of the people and must be protected collectively, consistently and courageously. Ethekon expressed gratitude to State and non-state agencies for their continued support in strengthening Kenya’s democratic institutions. He also acknowledged the support of development partners, including IFES, ELGIA, UNDP, ECES, International IDEA, Uraia Trust, CMD-Kenya, NIMD, The Carter Center and others who continue to contribute to institutional strengthening and electoral reforms. As the Commission launches these important instruments, the Chairperson called upon all stakeholders to renew their collective commitment to protecting the Constitution, strengthening democratic governance and ensuring that every Kenyan can exercise their democratic rights freely, peacefully, confidently and with dignity. He noted that through collaboration, integrity, professionalism and fidelity to the Constitution, Kenya will deliver electoral processes that honour the aspirations of its people and strengthen the nation’s democratic future. #IEBCStrategicPlan #KuraYakoSautiYako #DeepeningDemocracy",en,https://www.iebc.or.ke/news/?IEBC_Launches_Strategic_Plan_2024_2029_and_Election_Operations_Plan_2025_2027,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000014,governance,Regional Electoral Management Bodies Capacity-Building Programme Concludes in Machakos12th Jun 2026,"The Regional Electoral Management Bodies (EMBs) Capacity-Building and Experience-Sharing Programme in Machakos County, where the IEBC Chairperson, Vice-Chairperson, Commissioners and senior members of staff participated, has successfully concluded. Over the past three days, electoral leaders and senior officials from Kenya, Seychelles, Malawi, and Uganda engaged in insightful discussions on electoral governance, leadership, electoral integrity, stakeholder engagement, emerging technologies, misinformation and disinformation, crisis communication, and dispute resolution. The closing ceremony was presided over by IEBC Chairperson Erastus Ethekon, as the host, who reiterated the importance of continuous learning, collaboration, and innovation in strengthening electoral processes across the region. Participants expressed their appreciation to COMESA, EISA, and the Independent Electoral and Boundaries Commission (IEBC) for providing a valuable platform for peer learning and knowledge exchange. They noted that the lessons and best practices gained during the programme will be applied to improve election management in their respective countries.",en,https://www.iebc.or.ke/news/?Regional_Electoral_Management_Bodies_Capacity-Building_Programme_Concludes_in_Machakos,,emergency,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
