psa_id,domain,title,text,language,source_url,published_at,urgency,organization,metadata
psa_2026_000001,governance,PUBLIC NOTICE15th Jul 2026,"The Commission reminds all voters that taking photographs or recording images of marked ballot papers inside the polling booth is strictly prohibited and constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence. The offence is punishable by a fine not exceeding KSh 1 million, or imprisonment for a term not exceeding three years, or both. The Commission urges all voters to comply with this legal requirement in order to protect the secrecy and integrity of the ballot. For accurate and up-to-date information, please visit our official website (https://iebc.or.ke) and follow our verified social media platforms (@IEBCKenya). #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?PUBLIC_NOTICE,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000004,governance,Tomorrow is Voting Day15th Jul 2026,"Tomorrow is Voting Day! The people of Ol Kalou Constituency in Nyandarua County will head to the polls to elect their Member of the National Assembly in the #16thJulyByElection. Polling stations will be open from 6:00 a.m. to 5:00 p.m. To vote, you must present your original National Identity Card or a valid Kenyan passport at your designated polling station. Any time lost during the opening of polling stations will be compensated at closing. All voters who are in the queue by 5:00 p.m. will be allowed to vote. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000009,governance,IEBC Electoral Code Committee Finds Nakuru Town East MP Guilty of Code of Conduct Breach14th Jul 2026,"The IEBC Electoral Code of Conduct Enforcement Committee, chaired by Commissioner Dr. Alutalala Mukhwana, has found the Member of the National Assembly for Nakuru Town East, Hon. David Gikaria, guilty of breaching the Electoral Code of Conduct. The Committee imposed several sanctions, including directing the legislator to issue a public apology and formally retract the offending remarks. He was also warned against committing similar violations in future, with the Committee cautioning that any subsequent breaches will attract more severe penalties, including the possibility of being barred from participating in elective politics. Additionally, Hon. Gikaria has been ordered to pay a fine of KSh 2.5 million within 48 hours. The Committee has also referred the matter to the Office of the Director of Public Prosecutions (ODPP) for investigation into possible offences under the Election Offences Act. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,,high,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000010,governance,Press Release -  Update on Preparedness for the 16th July 2026 Ol Kalou By-Election14th Jul 2026,"The Commission wishes to inform the nation that all preparations for the by-election scheduled for Thursday, 16th July 2026, to fill the position of Member of National Assembly for Ol Kalou Constituency in Nyandarua County are progressing as planned. All registered voters in Ol Kalou Constituency MUST present their national identity card or valid passport on polling day, as these remain the primary identification documents required for voting. The Register of Voters for the Ol Kalou Constituency by-election remains secure. Claims that the Register has been manipulated are false, misleading and unsupported by evidence. The Commission condemns such misleading claims and urges all stakeholders to refrain from spreading misinformation and disinformation. Polling stations will open at 6:00 a.m. and close at 5:00 p.m. Where polling commences later than scheduled due to unforeseen circumstances, the lost time will be compensated to ensure that voters receive the full polling period. All voters who are in the queue by 5:00 p.m. will be allowed to cast their ballots. Taking photographs or recording images of marked ballot papers inside the polling booth is strictly prohibited and constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. The Commission, in close collaboration with the National Police Service, has put in place adequate security arrangements to ensure a peaceful and orderly electoral process. Two uniformed police officers will be deployed at every polling station, while additional officers will be stationed at tallying centres to maintain law and order and safeguard the integrity of the election. All political parties, candidates, agents and supporters are reminded that compliance with the Electoral Code of Conduct is mandatory. The Commission will not hesitate to invoke all enforcement measures provided for under the Electoral Code of Conduct without fear or favour. The Commission's investigation team is actively investigating all alleged violations with a view to fully enforcing the Code. The Commission calls upon voters, political parties, candidates, observers, civil society organizations and members of the public to report any electoral offence or breach of the Electoral Code of Conduct. Members of the public are encouraged to REPORT and PROVIDE evidence of any electoral malpractice to the Commission, the National Police Service or any other authorized investigative agency. The Commission remains steadfast in its commitment to delivering a peaceful, free, fair, transparent and credible election whose outcome reflects the freely expressed will of the people. Registered voters of Ol Kalou Constituency: Your vote is your voice. Turn out in large numbers, cast your ballot and peacefully shape the future of your constituency. Download: https://bit.ly/3R5P5sh #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?Press_Release_-__Update_on_Preparedness_for_the_16th_July_2026_Ol_Kalou_By-Election,,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000017,governance,"IEBC, UNDP Collaborate to Enhance Electoral Integrity and Preparedness for 20279th Jun 2026","The Commission, led by Chairperson Erastus Ethekon, today attended a meeting of the local Project Appraisal Committee (LPAC) of the UNDP-led Elections Project document to finalise plans for the Elections Basket Fund project ahead of the 2027 General Election. Speaking during the meeting, Ethekon thanked the development partners, security agencies, gender, youth and women groups present for their support and noted that an election is not a one-day event but a journey where agencies walk together to help achieve an inclusive, transparent, credible, free and fair election. ""This collaboration is important for us to build trust and legitimacy of the electoral processes. It is the framework to support elections and a vehicle to mobilise resources for both technical and financial support in the build-up to the 2027 General Election,"" said Ethekon. The Elections Project document defines the scope, outcomes, outputs and activities required to be implemented prior to the 2027 General Election. If approved and implemented, it will enhance stakeholder engagement and strengthen efforts towards delivering a transparent and credible election. ""Election is a journey and I call upon everyone present here today to act responsibly, be accountable for the resources available and work together to achieve tangible results. This document will be taken to the Attorney General and National Treasury for approval before we sign and implement it. I will follow up on the remaining processes to ensure that it is cleared and approved,"" said Ethekon. Commissioner Ann Nderitu, CBS, said the Elections Project document is anchored on five priorities arising from the 2025 Needs Assessment Mission, including: participation of youth, women and people living with disabilities; strengthening stakeholder engagement and communication; capacity building and technical assistance; electoral security, preparation and early risk awareness coordination; and information integrity to counter misinformation, disinformation and online harm. UNDP’s Resident Representative Jean-Luc Stalon reiterated their support in ensuring the Commission delivers on its constitutional mandate. UNDP has played a pivotal role over successive elections in supporting Kenya to deepen its democracy by contributing to institutional capacity and electoral integrity. LPAC is a mandatory review mechanism where key national partners and concerned UN agencies formally evaluate the project's design, budget availability and technical alignment. The expected outcome is a formal endorsement of the project document before submission to the Office of the Attorney General and National Treasury for approval. #16thJulyByelection #KuraYakoSautiYako #IEBCStrategicPlan #IEBCEOP",en,"https://www.iebc.or.ke/news/?IEBC,_UNDP_Collaborate_to_Enhance_Electoral_Integrity_and_Preparedness_for_2027",,medium,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000019,governance,Accreditation Open for Election Observers and Media Practitioners for Ol-Kalou By-Election4th Jun 2026,"PUBLIC NOTICE The Independent Electoral and Boundaries Commission (IEBC) invites applications from eligible organizations to be accredited as: 1. Election Observers 2. Media Practitioners for the Ol-Kalou Constituency Member of National Assembly (MNA) By-Election scheduled for Thursday, 16th July 2026. How to Apply: Submit your application via the IEBC Accreditation Management System (AMS): https://ams.iebc.or.ke Application Deadline: Tuesday, 30th June 2026 at 5.00 p.m. Download the official advert: https://bit.ly/49Le0rr #16thJulyByelection #KuraYakoSautiYako #IEBCStrategicPlan #IEBCEOP",en,https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,,high,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000022,governance,IEBC Holds Planning Meeting Ahead of Ol-Kalou Parliamentary By-Election19th May 2026,"The Commission today held a planning meeting ahead of the Ol-Kalou Constituency parliamentary by-election scheduled for 16th July 2026. The meeting brought together election officials to review preparedness and align operational plans for the upcoming exercise. Speaking during the meeting, Commissioner Ann Nderitu, CBS officially opened the session and emphasized areas critical to the successful conduct of the by-election. These included data protection, photography within the polling booth, access control at polling centres, and the expected conduct of election officials throughout the electoral process. The planning meeting provided a platform for officials to share lessons learned from previous elections, identify emerging issues requiring intervention, and develop appropriate mitigation measures. Participants also reviewed key by-election activities, timelines, budgets, operational procedures, and expectations as part of the Commission’s preparations to deliver a free, fair and credible election. #16thJulyByelection #YourVoteYourFuture #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?IEBC_Holds_Planning_Meeting_Ahead_of_Ol-Kalou_Parliamentary_By-Election,,medium,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000024,governance,"IEBC, Ministry of Interior Hold Consultative Meeting Ahead of 2027 General Election15th May 2026","The Commission today, in Nairobi, held a consultative meeting with the Ministry of Interior and National Administration. The engagement focused on strengthening collaboration, particularly in the area of issuance of national identification cards, election security preparedness and conflict management and peacebuilding. While addressing the meeting, the Cabinet Secretary for Interior and National Administration, Kipchumba Murkomen, assured the Commission of the Ministry’s commitment to continuous collaboration and consultation to ensure that the 2027 General Election is credible, peaceful, and reflective of the fundamental principles of good governance. IEBC Chairperson, Erastus Edung Ethekon, thanked the Ministry for its support during the recently concluded Enhanced Continuous Voter Registration drive, as well as the by-elections conducted peacefully on Thursday, May 14. “Today’s engagement is both timely and necessary. Elections are not the responsibility of a single institution. Successful elections require strong coordination, continuous consultation, and mutual support among institutions charged with safeguarding democracy, peace, security, and the rule of law,” said Ethekon. The Chairperson further emphasized that the success of the 2027 General Election will largely depend on how effectively institutions coordinate and collaborate today. He reaffirmed the IEBC’s commitment to working closely with the Ministry of Interior and National Administration, development partners, and all relevant stakeholders to ensure peaceful, transparent, credible, and inclusive elections. #16thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews",en,"https://www.iebc.or.ke/news/?IEBC,_Ministry_of_Interior_Hold_Consultative_Meeting_Ahead_of_2027_General_Election",,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000025,governance,Public Notice: No Photos or Videos Allowed Inside Polling Booths14th May 2026,"Public Notice DO NOT take Photos or Record videos in the Polling Booth. The secrecy and sanctity of the vote must be preserved at all times. Photography and Video Recording is strictly PROHIBITED in the POLLING BOOTH. Doing so constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence. The offence is punishable by: a fine not exceeding KSh 1 million, or imprisonment for a term not exceeding 3 years, or both. #14thMayByelections #16thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews",en,https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,,medium,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
psa_2026_000026,governance,"IEBC Vice Chairperson Fahima Araphat Abdallah, OGW, Leads IEBC Team in 2027 Budget Presentation to JLAC14th May 2026","The Commission, led by Vice Chairperson Fahima Araphat Abdallah, OGW, appeared before the National Assembly Departmental Committee on Justice and Legal Affairs (JLAC) on May 12th 2026, chaired by Hon. George Gitonga Murugara, to present the 2027 General Election budget, implementation status for the FY 2025/26 budget, project information, proposed new projects and pending bills. The Vice-Chairperson emphasized that credible elections require more than ballot papers, highlighting the importance of logistics, ICT systems, transport, ballot boxes and other operational services. Further, she observed that stakeholder engagements with diverse groups across the country is essential for electoral preparedness ahead of the 2027 General Election. She explained that different forums are required for youth, persons with disabilities, marginalized communities, and constituency-based stakeholders. The Commission also confirmed that simulation exercises and testing of election technology had been budgeted for to ensure adequate preparedness. Other activities include Enhanced Continuous Voter Registration - Phase Two, expansion of diaspora voter registration to more countries, procurement of additional Kenya Integrated Management System kits, and geospatial mapping of new polling stations in response to growth in the register of voters. JLAC members urged the Commission to have clear electoral timelines and timely reforms. In response, the Commission stated that all timelines had been incorporated into the Electoral Operations Plan and Strategic Plan, which are to be launched in June 2026 following stakeholder validation. The Committee assured the Commission of its support, while emphasizing the need for timely preparations, cost efficiency and value for public funds. #14thMayByelections #16thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews",en,"https://www.iebc.or.ke/news/?IEBC_Vice_Chairperson_Fahima_Araphat_Abdallah,_OGW,_Leads_IEBC_Team_in_2027_Budget_Presentation_to_JLAC",,low,Independent Electoral and Boundaries Commission,"{""adapter"": ""generic_html""}"
