PSA_ID,Domain,Sub_Category,English,Kiswahili,Kikuyu,Source,Date,Urgency,Audience,psa_score,lang_detected
GOV_KENYA_NEWS_AGENCY_0001,Health,Healthcare Access,"New epilepsy clinic opened in Kajiado. A new specialized epilepsy clinic has been opened at the AIC Child Care Centre in Kajiado County, offering renewed hope to people living with the condition through improved access to treatment, medical support and awareness services. The facility, established through a partnership between the Kenya Association for the Welfare of People with Epilepsy (KAWE), the County Government of Kajiado and the United States-based BAND Foundation, aims to bridge the treatment gap and address stigma associated with the neurological disorder. Speaking during the launch, BAND Foundation Trustee Ms Gardner Lapham said increased public awareness would encourage more people living with epilepsy to seek medical attention. Ms. Lapham said many people continue to suffer due to misconceptions surrounding the condition, which has prevented them from seeking proper medical care. “Once people understand that epilepsy is a treatable medical condition, they will actively seek care. Simple medicine can truly transform and save lives in a very affordable way,” said Ms. Lapham. During the launch, community members participated in a “Stigma Bench” session, which provided an opportunity to challenge cultural beliefs associated with epilepsy and promote understanding that the condition is a brain disorder requiring medical care rather than a curse or contagious illness. KAWE Chief Executive Officer (CEO) Patrick Ng’echu said the opening of the clinic was a major milestone in the organization’s 40-year history of creating awareness and providing care for people living with epilepsy. “This clinic opening marks a major milestone in KAWE’s 40-year history of offering public education and managing epilepsy clinics across the country,” said Mr. Ng’echu. He said the location of the facility at the AIC Child Care Centre would enable patients to receive holistic care, as the centre already supports children with neurological conditions, including cerebral palsy and autism. He said KAWE currently supports 25,000 active patients in Nairobi through its primary care model, adding that Kajiado had become the 24th region to benefit from its decentralized outreach programme. Mr. Ng’echu said investment in epilepsy management has economic benefits since patients who receive proper care are able to return to school, work and engage in other productive activities. “For every single shilling invested in managing epilepsy, there is an estimated five and a half shilling return on investment to the economy as patients regain control of their lives and productivity,” said Mr. Ng’echu. He urged county governments to allocate resources towards neurological disorders, noting that epilepsy remains among the conditions that receive limited attention despite affecting many people. KAWE Clinical Officer Nicholas Otieno said the new facility would provide a permanent referral point for patients who have struggled to access specialized services. “About one in every 18 Kenyans is estimated to suffer from epilepsy. Despite this high prevalence, the national treatment gap stands at 80 percent, meaning only 20 percent of patients receive proper medical management,” said Mr. Otieno. He said many patients who do not receive medical care often turn to traditional healers and spiritual practitioners due to myths and lack of awareness, leaving them vulnerable to exploitation. Mr. Otieno said stigma continues to affect people living with epilepsy, particularly women, who often face discrimination and isolation due to misconceptions about the condition. He said affected women often face isolation and discrimination due to misconceptions that epilepsy can be passed to their children. “Epilepsy is not strictly hereditary, and the belief that women living with the condition cannot have healthy children is medically unfounded,” he said. Mr. Otieno added that stigma had contributed to some children being hidden from school and adults being denied employment opportunities. To ensure sustainability of the clinic, KAWE has trained local healthcare workers and community health promoters to identify cases at the community level and support patients through primary healthcare services. He called on health stakeholders and community leaders to support the programme by ensuring availability of epilepsy medication. He further urged families to bring people living with epilepsy out of isolation and take advantage of available medical services at the facility. “Families should bring people living with epilepsy out of isolation and take advantage of available medical services at the clinic. Epilepsy is a treatable condition and those affected should not continue to suffer in silence,” he said. Geoffrey Hinga, a person living with epilepsy, shared his personal experience, highlighting the challenges he has faced since developing the condition at the age of 12. Mr. Hinga, a trained beautician, said stigma remains a major challenge, particularly when people living with epilepsy seek employment opportunities. “Many employers think that a person with epilepsy cannot perform duties safely because they fear a seizure might occur at the workplace. As a result, some of us lose opportunities despite being qualified,” said Mr Hinga. He said there are still very few clinics in Kenya that cater specifically for people living with epilepsy, making it difficult for many patients to access specialized care. Hinga welcomed the opening of the Kajiado clinic, saying it would provide much-needed support to people living with epilepsy and encourage more patients to seek medical attention. By Rop Janet",,,https://www.kenyanews.go.ke/new-epilepsy-clinic-opened-in-kajiado/#respond,2026-07-18T15:09:50+00:00,Normal,General public / patients,5,en
GOV_KENYA_NEWS_AGENCY_0002,General,Uncategorized,"Politics. Nakuru Senator and Deputy Majority Leader Tabitha Karanja has called on security agencies to dismantle organised political goonism, warning that rising cases of violence and intimidation could undermine Kenya’s democracy",,,https://www.kenyanews.go.ke/category/politics/,2026-07-21T17:55:11+00:00,High,General public,1,en
GOV_KENYA_NEWS_AGENCY_0003,Agriculture,Crop Production,"AIC Bishop warns against goon culture, tribal politics before elections. The Africa Inland Church (AIC) Deputy Presiding Bishop Paul Kirui has warned against the growing culture of political violence and ethnic politics, saying failure to hold leaders accountable for sponsoring violence could undermine Kenya’s peace and stability ahead of next year’s General Election. Speaking to the Kenya News Agency (KNA) after commissioning AIC Kenegut Church in Kapsoit Ward, Kericho County, Bishop Kirui urged political leaders to embrace responsible leadership, reject divisive rhetoric and place the interests of Kenyans above political competition. He cautioned that the emergence of organised groups used to perpetrate violence during political activities poses a serious threat to national cohesion and should not be tolerated. “All leaders must be held accountable for their actions. We must not allow the culture of goons to take root in our country because it will only lead to chaos,” said Kirui. The bishop also condemned tribal politics, saying leaders who exploit ethnic differences for political gain risk reversing the country’s gains in peace and national unity. “All leaders must rise above tribal politics because we have one country called Kenya. We must not allow our differences to create anxiety that will jeopardise the peace we enjoy. I might be wrong and you may be right, but that should not divide us. Let us put the lives and well-being of our people first. Let us value our children and move forward together by upholding peace, love and unity. We must not allow anything to divide or break us as a nation,” he said. Kirui said leadership is a sacred responsibility entrusted by God and should be exercised with humility, integrity and a commitment to serving the public rather than advancing personal or political interests. He urged elected leaders to use their influence to unite Kenyans and inspire hope instead of promoting hostility and division. Present during the interview was Kapsoit Member of County Assembly (MCA) Paul Chirchir, popularly known as Tarimbo, who echoed the bishop’s sentiments and called on politicians to stop exploiting unemployed youth to fuel violence during political campaigns. Chirchir said many young people are manipulated into participating in criminal activities because of unemployment and poverty, urging leaders to invest in programmes that empower youth economically instead of using them as political tools. He challenged leaders to provide seed capital for youth enterprises, create employment opportunities and support skills development initiatives that would enable young people to earn sustainable livelihoods. The MCA also urged the government to take firm legal action against politicians who finance or organise violent groups, saying such actions undermine democracy, peaceful elections and national cohesion. “As leaders we must commit to be peaceful and act as agents of peace. Peace begins with leaders and ends with leaders. Our people behave the way we lead them to behave,” said Chirchir. He appealed to religious leaders to continue playing their role in promoting peaceful coexistence by challenging politicians to uphold responsible leadership and refrain from inflammatory politics as campaigns gather momentum. According to Chirchir, the Church remains one of the country’s most trusted institutions and is well placed to foster dialogue, reconciliation and peaceful elections. He further called on the National Cohesion and Integration Commission (NCIC) to fully enforce laws against hate speech, incitement and ethnic discrimination as the country prepares for the General Election. “The National Cohesion and Integration Commission must wake up to its responsibilities as we head to the General Elections. It should come out strongly and execute its mandate. There is an Act of Parliament that gives the Commission the powers to take action against those who incite the public, promote tribal politics and issue inflammatory statements. Those who break the law must be held accountable,” he said. Kirui had earlier commissioned the AIC Koisagat Church in Ainamoi Sub-county before presiding over the commissioning of AIC Kenegut Church in Kapsoit Ward. By Sarah Njagi",,,https://www.kenyanews.go.ke/aic-bishop-warns-against-goon-culture-tribal-politics-before-elections/,2026-07-21T10:21:12+00:00,Normal,Farmers,8,en
GOV_KENYA_NEWS_AGENCY_0004,Health,Mental Health Awareness,"Governor Godhana vows to improve service delivery, enhance productivity. By H, KNA Tana River governor Major (Rtd.) Dhadho Godhana, has issued a firm warning to county staff that the era of “business as usual” is over, calling for a renewed culture of efficiency, accountability and people-centred service delivery across all the departments. Speaking after chairing the first County Executive Committee (CEC) members meeting of 2026, Godhana said laxity and slow service delivery in the past, had negatively affected projects implementation, stalled development and denied wananchi the services they deserve. The governor emphasized that his administration was determined to fundamentally change the trajectory of Tana River County, and align it with national development standards. “My resolve is clear and it’s to take Tana River from where it is today and position it at par with the rest of the country. We must transform this county into an attractive destination for investors and tourists and create jobs for our people, reduce poverty and ultimately end the cycle of dependency,” he said. He noted that his administration’s vision is to transition Tana River from a largely rural set up, into a modern competitive county, supported by new ways of doing things and faster decision-making. Godhana called on county staff to always exhibit the highest standards of accountability, transparency, loyalty, and discipline in the conduct of government businesses. He also emphasized that the county will continue to provide training and development opportunities to enhance staff capacity and promote a culture of discipline and accountability The governor signaled a shift towards improved governance, demanding greater transparency, accountability and efficiency in public service delivery, with threats of disciplinary action for underperformance, corruption, or slow progress, aiming to end complacency and deliver on promises for better services in healthcare, agriculture, education and infrastructure. “This is a transformation agenda. It cannot be achieved if we continue doing things the same way and as a devolved unit we must change how we conduct our business,” he said. The governor stressed that wananchi remain the central pillar of this transformation, noting that meaningful and sustainable change must be driven from the grassroots level. “Devolved governments are ideally supposed to be citizen-centred units. Any meaningful change must be built from the bottom up, with wananchi as active partners in development,” he said. The governor called on county staff to double their efforts, noting that improved service delivery is critical to transforming the county’s socio-economic and political landscape. Godhana restated his administration’s commitment to delivering critical infrastructure that will drive economic growth and lift residents from abject poverty to prosperity. He further revealed that his administration has held numerous consultative forums with community elders, the clergy, youth, women and grassroots leaders to discuss and shape the envisioned transformation. “The speed of service delivery must increase twofold. We must act faster and work more efficiently. All departments must move with urgency to implement our socioeconomic priorities,” he stated. Godhana also appealed for unity and cooperation among all arms of government, urging the county assembly and national government officials to work closely with the county administration. “This transformation agenda requires collective effort. I call upon the county assembly and our national government counterparts in the county to unite and work with us, so that residents can quickly enjoy the benefits of an efficient, responsive and accountable system,” he said. The two-term governor noted that the two levels of government should consult, collaborate and cooperate to mitigate the challenges they face in service delivery. He stated that his administration has been guided by the constitution and stressed that it will continue to serve the people with diligence and integrity, until the end of his second and final tenure in office in August 2027. “We will work closely with the national government and to continue to prioritise the well-being of our people,” he said, adding that he will continue to consolidate on the gains of his administration.",,,https://www.kenyanews.go.ke/governor-godhana-vows-to-improve-service-delivery-enhance-productivity/,2026-07-17T18:22:49+00:00,High,General public / patients,3,en
GOV_KENYA_NEWS_AGENCY_0006,Agriculture,Agricultural Training,"State Scales up distribution of smart boards. The government has intensified efforts to digitize learning in public schools with the rollout of smart boards and laptops under the Kenya Digital Economy Acceleration Project (KDEAP), a programme expected to transform the delivery of Competency-Based Education (CBE) across the country. ICT Authority Chief Executive Officer Jessy Maruti said the World Bank-funded initiative seeks to improve the quality of education and equip learners with digital skills required to compete globally. Speaking during the launch of the distribution exercise at Webuye ACK Junior School in Webuye East Sub-County, Bungoma County, Maruti said the government plans to distribute10,332 smart boards and laptops to junior secondary schools across the country in the first phase of the programme, with an additional devices earmarked for the second phase. He said the launch follows the national rollout that was flagged off by Deputy President Kithure Kindiki in Elgeyo Marakwet County last week. “The objective is to strengthen education and improve the quality of learning by creating inclusive and digitally enabled classrooms,” said Maruti. He noted that the initiative forms part of the government’s broader Digital Superhighway Programme aimed at building a digitally connected economy through expansion of broadband infrastructure and digital public services. Under the programme, the government is rolling out 100,000 kilometers of fibre optic cable across the country in partnership with Kenya Power to ensure schools gain access to reliable internet connectivity. Maruti said schools located in remote areas where fibre connectivity is not available will be connected through satellite technology to ensure no learner is left behind. “We want our students to compete globally by integrating ICT into education and facilitating collaboration among schools and teachers across the country,” he said. According to the ICTA boss, Western Kenya will receive about 1,300 smart boards and laptops, while 393 devices have been earmarked for schools in Bungoma County. He added that more than 62,000 teachers have already been trained countrywide to support implementation of digital learning and ensure the devices deliver the intended impact in classrooms. The smart boards, which operate like computers, will enable learners to access digital content, interact with peers in other schools and participate in virtual learning sessions. The government, he said, also plans to establish four digital hubs in every constituency and equip modern markets with digital centres containing at least 50 computers each as part of efforts to expand digital inclusion. Additionally, 25,000 public Wi-Fi hotspots will be installed across the country. Maruti said all the devices will be monitored centrally to enhance security and ensure proper utilisation. “These devices have been mapped and we can monitor them online, know where they are and how they are being used,” he said. Webuye ACK Junior School principal Wycliffe Oduori welcomed the initiative, saying it would revolutionize research and learning among students by exposing them to global knowledge resources. He said the institution had previously struggled with internet connectivity and unreliable power supply, challenges that had hindered effective integration of ICT in learning. However, he said the internet challenge had been addressed through government support while a partnership involving the Ministry of Education and KCB Bank had enabled the school to install solar power. “The introduction of smart boards is going to enhance interaction with other institutions and improve research among learners, enabling them to become more hands-on in their studies,” he said. He added that the digital infrastructure would also help address teacher shortages by enabling virtual lessons and resource sharing among schools. “Even in the absence of a teacher physically present in class, learners can still be taught remotely through connections with teachers from other schools,” he added. The principal said the programme will directly benefit the school’s 1,575 learners. Webuye East Teachers Service Commission Sub-County Director Kennedy Mekenye said the commission had fully embraced the programme and would continue training teachers to support implementation of CBE. He revealed that 174 teachers in the sub-county had already undergone training on the use of the digital devices, with more expected to be trained in the coming months. Mekenye urged teachers to safeguard the equipment and ensure it is used to improve learning outcomes. Webuye East Sub-County Director of Education Linda Serete described the initiative as the beginning of a new era in teaching and learning. She said digital literacy had become a critical foundation for education and future employment opportunities. “Even a child in a rural setting will now be exposed to simulations, demonstrations and other digital learning experiences that were previously inaccessible,” she said. Serete challenged teachers to utilize the equipment fully instead of locking it away in offices and stores for fear of theft. At the same time, she raised concern over rising cases of theft of digital devices in schools and appealed to the Ministry of Interior and security agencies to help recover stolen equipment and protect government investments. She also called for increased funding to schools to facilitate safe custody and maintenance of the devices. Kenya Primary School Heads Association (KEPSHA) Webuye East chairman Patrick Musinai lauded the initiative, saying it would significantly strengthen implementation of CBE and improve learning outcomes. Musiani expressed optimism that all the 61 schools in the sub-county would eventually benefit from the programme. By Chris Mahandara",,,https://www.kenyanews.go.ke/state-scales-up-distribution-of-smart-boards/#respond,2026-07-17T18:18:02+00:00,Normal,Farmers,2,en
GOV_KENYA_NEWS_AGENCY_0009,Governance,Devolution and Local Governance,"Kiambu launches second phase of Maji Nyumbani Program. Kiambu County has launched the second phase of theMaji Nyumbani Program,a major water connectivity initiative that will see more than 120 kilometers of water supply pipelines laid across the county to improve access to clean and reliable water. On Thursday, July 16, Governor Kimani Wamatangi, flagged off trucks transporting water pipes to various project sites, marking the commencement of the countywide infrastructure program. The function was held at the county headquarters. The Governor said the second phase will be implemented through the county’s water service companies, with projects distributed equitably across all sub-counties to ensure every region benefits from the initiative. “The program targets the connection of 100,000 new households to the water supply network, significantly expanding access to safe and affordable water for residents,” Wamatangi noted. TheMaji Nyumbani Programwas launched as part of the county government’s plan to address water scarcity by expanding water infrastructure and extending piped water to households. Since its inception, the program has seen the installation of more than 150 kilometers of water distribution pipelines, procurement of over 60 water tanks and thousands of new household water connections across the county. The initiative has also included the drilling of boreholes and construction of water storage facilities to improve the reliability of supply in underserved areas. The county government has secured funding to expand the Karemenu Dam, a Sh5.7 billion project expected to increase water availability for Kiambu as well as neighboring towns including Ruiru, Juja and Thika. Kiambu County Executive Committee Member for Water, Environment and Natural Resources, David Kuria, lauded the commitment of the Governor for ensuring that the eight water companies in Kiambu county have an active board of directors, who are upholding quality work standards. By Collins Esike and Grace Naishoo",,,https://www.kenyanews.go.ke/kiambu-launches-second-phase-of-maji-nyumbani-program/#respond,2026-07-17T18:21:33+00:00,Normal,Citizens / voters,1,en
GOV_KENYA_NEWS_AGENCY_0010,Health,Mental Health Awareness,"Mudavadi urges greater preparedness ahead of looming El Niño rains. The government has intensified preparedness for possible El Niño rains through strengthened early warning systems and coordinated disaster response mechanisms to minimise the impact of extreme weather events across the country. Prime Cabinet Secretary and Cabinet Secretary for Foreign and Diaspora Affairs, Musalia Mudavadi, said the government was working closely with the Ministries of Agriculture, Environment and agencies responsible for disaster management, to prepare for climate-related emergencies following prolonged dry spells that have affected crop production in several parts of the country. Speaking during the launch of the Integrated Natural Resources Management Programme (INReMP) at the University of Eldoret, Uasin Gishu County, on Friday, Mudavadi said although farmers were currently grappling with drought and frost, the country must also prepare for possible flash floods associated with El Niño. “Through our early warning systems, the Ministry of Agriculture, the Ministry of Environment and the department responsible for disaster management are collaborating closely so that when the time comes, we can minimise the impact of any emergency. We are also working to desilt dams so that they can hold more water during periods of heavy rainfall,” he said. Mudavadi appealed to development partners, including the International Fund for Agricultural Development (IFAD), to continue supporting the government in implementing emergency interventions and climate resilience programmes to cushion vulnerable communities from the effects of climate change. He stressed that climate change had become a global challenge that required collective action because its effects cut across national boundaries and communities. “Climate change does not recognise sovereignty, tribes or regions. It affects all of us, and we must therefore work together to protect our environment and safeguard the lives and livelihoods of future generations,” he said. The Prime Cabinet Secretary urged officers implementing the Integrated Natural Resources Management Programme across the ten participating counties to ensure it delivers tangible benefits to farmers by restoring degraded landscapes, promoting climate-smart agriculture, improving water resource management and strengthening food security. He said the government’s development agenda remained focused on improving livelihoods by expanding economic opportunities, increasing household incomes and empowering Kenyans through investments in agriculture, infrastructure, education, healthcare and affordable housing. “Our objective is to put more money into the pockets of Kenyans. Every programme we are implementing is intended to create opportunities, improve livelihoods and increase the purchasing power of our people,” Mudavadi said. Mudavadi at the same time called on Kenyans to uphold peace, national unity and democratic values by registering as voters ahead of the 2027 General Election. He reaffirmed the government’s commitment to conducting free, fair and credible elections within the constitutional timelines and expressed confidence that President William Ruto would secure a second term through the ballot. “We have always held elections on schedule, and the 2027 General Election will also be held on schedule. I encourage every eligible Kenyan to register as a voter and participate peacefully. We are confident President William Ruto will prevail democratically,” he said. He described Thursday’s Ol Kalou parliamentary by-election as part of Kenya’s democratic process, saying by-elections were normal and should not distract the government from delivering its development agenda. The Prime Cabinet Secretary also defended key government programmes, including the recruitment of teachers and community health promoters, affordable housing, road infrastructure and the expansion of the Standard Gauge Railway, saying they had begun transforming lives and should be sustained. Mudavadi said continuity in implementing ongoing programmes would help consolidate development gains and accelerate economic transformation. Mudavadi’s remarks come against the backdrop of an earlier advisory by the Kenya Meteorological Department warning that enhanced El Niño rainfall with 80 per cent probability of experiencing an El Niño events expected during the October-November-December (OND) 2026 short-rains season, with several parts of the country likely to experience above-average rainfall, prompting government agencies to step up preparedness and disaster risk reduction measures. By Fredrick Maritim",,,https://www.kenyanews.go.ke/mudavadi-urges-greater-preparedness-ahead-of-looming-el-nino-rains/#respond,2026-07-18T16:00:47+00:00,High,General public / patients,9,en
GOV_KENYA_NEWS_AGENCY_0011,Agriculture,Agricultural Training,"Ndumberi ICT Hub hosts inaugural indoor games championship. Kiambu Town Member of Parliament Machua Waithaka has launched the inaugural Machua Waithaka Annual Indoor Games Championship at the Ndumberi Jitume ICT Hub, an initiative aimed at identifying and nurturing sporting talent among young people in the constituency. The championship brought together participants competing in chess, scrabble, table tennis, darts, draughts and dance, attracting youth, sports officials and local leaders who underscored the importance of promoting indoor sports as a pathway for talent development. Speaking during the event, Waithaka said the competition seeks to provide young people with opportunities to develop their skills and compete at higher levels. “We want to identify talent early and create pathways for our youth to grow into national, African and world champions,” he said. The MP noted that while Kenya has earned global recognition in athletics, the country also has immense potential to excel in other sporting disciplines if young talent is identified and nurtured from an early age. He encouraged youth to actively participate in indoor games, saying the activities promote discipline, teamwork, critical thinking and self-confidence while opening opportunities for professional careers in sports. Waithaka also thanked the Ministry of Sports and various sports federations for supporting the initiative by providing technical officials and guidance during the championship. The participating federations included Chess Kenya Federation, Kenya Scrabble Association, Kenya Darts Association, Kenya Table Tennis Association and Kenya Draughts Association. Winners in the different categories received awards in recognition of their outstanding performances, while all participants were encouraged to continue refining their skills through regular training and competitions. Waithaka expressed confidence that the annual championship would grow into an important platform for discovering and nurturing emerging talent while popularising indoor sports across Kiambu Town Constituency. By Polyne Wakiyu and Grace Naishoo",,,https://www.kenyanews.go.ke/ndumberi-ict-hub-hosts-inaugural-indoor-games-championship/#respond,2026-07-20T15:58:19+00:00,Normal,Farmers,2,en
GOV_KENYA_NEWS_AGENCY_0012,Agriculture,Crop Production,"Murkomen says public participation key to security reforms. Interior and National Administration Cabinet Secretary Kipchumba Murkomen has reaffirmed the importance of public participation in strengthening governance, saying meaningful citizen engagement is essential in shaping reforms and safeguarding constitutional democracy. Speaking at the Trans Nzoia County Assembly in Kitale during the opening of the County Assembly Wellness and Committee Services Centre, Murkomen said public participation must be authentic, timely and well-informed to enable citizens to contribute effectively to decision-making. “We must simplify the Constitution to enable everyone to participate and bring about changes that will inform our decision-making and maintain standards for public participation,” he said. The CS revealed that valuable concerns raised by the public during Jukwaa La Usalama Security Engagement Fora across the country are key in the ongoing security reforms and policy implementation. He emphasized that security is a shared responsibility between government and citizens and urged communities to work closely with security agencies while observing the rule of law. “Security begins at the household level, and we must all work together to keep our country safe. Our security operations must always be conducted in an orderly manner and in accordance with the Constitution,” he said. The CS said issues raised during the fora included the resurgence of criminal gangs, drug and substance abuse among youth, and weakening community security structures. Murkomen revealed that the government had provided financial and administrative support to operationalize community peace-building committees across the country. Meanwhile, he noted that the government was addressing the shortage of security personnel through increased police recruitments and deployment. “The presence of goons invading public spaces will disappear with the upcoming deployment of graduating officers from our training colleges,” he said. On gender-based violence, the CS said the National Police Service had embarked on its largest recruitment and training programme for women officers to strengthen gender-responsive policing and improve services at police stations. He warned criminal gangs and their financiers, saying the government had intensified multi-agency operations to dismantle organized criminal networks. “I am pleased to report that our security operations have yielded significant results, particularly in areas such as Matisi. We are now targeting the financiers and organizers of these criminal groups and will not relent until the country is secure,” he stated. The CS expressed concern over cases where suspects are released soon after arrest, saying such actions undermine efforts by security agencies to combat crime. He announced that reforms targeting more than 5,000 chiefs and assistant chiefs are underway to strengthen the national government administration and improve service delivery at the grassroots. He urged county assemblies to continue enacting laws that promote accountability and institutionalize public participation in governance. “I encourage this County Assembly to continue making public participation a pillar of governance because the views of citizens shape legislation,” he said. In the 2027 General Election, Murkomen assured Kenyans that the security sector is fully prepared to guarantee peaceful elections. He warned individuals spreading fear about possible election violence, saying the government would not allow criminals or politically sponsored violence to disrupt peace. By Isaiah Nayika and Winnie Jelagat",,,https://www.kenyanews.go.ke/murkomen-says-public-participation-key-to-security-reforms/#respond,2026-07-18T13:03:30+00:00,Normal,Farmers,5,en
GOV_KENYA_NEWS_AGENCY_0013,Agriculture,Sustainable Farming,"Education sector receives record Sh784.5 billion in budget. The Government has reaffirmed its commitment to strengthening Kenya’s education sector through increased funding, research, innovation and digital transformation. But the allocation comes as calls were made to encourage public universities to diversify their income sources to secure long-term financial sustainability. Education Cabinet Secretary Julius Ogamba said the education sector has received a record Sh784.5 billion allocation in the 2026/27 Financial Year, the highest since independence, reflecting the government’s commitment to making education a key pillar of national development. Speaking during the 59thgraduation ceremony of Kenyatta University on Friday, Ogamba said the allocation, representing nearly 30 percent of the national budget, will finance capitation, scholarships, student loans and implementation of collective bargaining agreements to maintain industrial harmony in learning institutions. “The government remains committed to building a competitive, inclusive and financially sustainable tertiary education system where no qualified Kenyan is left behind,” he said. The Cabinet Secretary, however, challenged universities to reduce reliance on the Exchequer by strengthening resource mobilization through research grants, innovation, strategic partnerships and alumni support. “The era when universities depended almost entirely on government funding is behind us. Institutions must diversify their sources of income to protect their independence and secure their future,” he said. Ogamba said the Government was promoting commercialization of university research to ensure innovations contribute to job creation, enterprise development and economic growth. He added that investment in digital learning infrastructure and the responsible use of artificial intelligence will remain central to reforms aimed at preparing graduates for a rapidly evolving global economy. The Cabinet Secretary urged universities to involve students in ongoing reforms affecting higher education, including funding models, curriculum reviews, technical and vocational education and integration of emerging technologies. Referring to the graduation theme, “Youth Engagement for Co-Creation of Inclusive Education,” Ogamba said young people should not be viewed merely as recipients of education but as partners in shaping an inclusive education system. He further called for equal opportunities for learners from marginalized communities, persons with disabilities, refugee populations and disadvantaged households. Addressing the graduates, Ogamba encouraged them to become innovators and entrepreneurs capable of creating employment opportunities instead of waiting for jobs. “The knowledge and skills you have acquired should enable you to solve problems, create opportunities and contribute meaningfully to national development,” he said. Kenyatta University Chancellor Ambassador Francis Muthaura commended the Government for prioritizing education, describing investment in human capital as the foundation of national competitiveness. He said education remains the most important responsibility of any government because it equips citizens with the knowledge and skills required to compete in an increasingly interconnected and competitive global environment. “Without human capital development, a country cannot compete effectively. The world has become increasingly competitive and education is the key to productivity, innovation and quality service delivery,” Muthaura said. He congratulated the graduates for successfully completing their academic programmes, saying the graduation marked both the culmination of years of hard work and the beginning of a new phase of service to society. Muthaura also paid tribute to parents, guardians and lecturers for supporting the graduates throughout their academic journey. Speaking on the graduation theme, the Chancellor said inclusive education can only succeed if young people are actively involved in designing and improving education systems. “Inclusion cannot be designed for young people without involving them. They are not merely beneficiaries of education but partners in shaping its future,” he said. He observed that today’s graduates are entering a world shaped by rapid technological advancement, artificial intelligence, climate change and shifting global realities, requiring universities to produce graduates with not only academic knowledge but also sound judgment, integrity and adaptability. The ceremony brought together education stakeholders, university leaders, parents and graduands to celebrate academic achievement while reaffirming the role of higher education in driving Kenya’s socio-economic transformation. By Aron Kinyamasyo",,,https://www.kenyanews.go.ke/education-sector-receives-record-sh784-5-billion-in-budget/,2026-07-18T15:03:56+00:00,Normal,Farmers,6,en
