PSA_ID,Domain,English,Kiswahili,Target Languages,Source,Date,Metadata
psa_2026_003803,Governance,Voting Procedure for the 5 Days to the 14th May Byelections9th May 2026. Voting Procedure for the #14thmaybyelections Please Note: The secrecy and sanctity of the vote must be preserved as all times. View: https://youtu.be/2XJWn_AE4ys #14thMayByelections #16thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Voting_Procedure_for_the_5_Days_to_the_14th_May_Byelections,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000031"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 40, ""sentence_count"": 3, ""content_hash"": ""8065fd7b8ce27794495c09b9baf3f9a451490deada6a35cebd0b2d7250929533"", ""original_psa_id"": ""qpsa_2026_003516"", ""quarantine_reason"": ""low_psa_score:0.32"", ""recovered_from"": ""qpsa_2026_003515"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
psa_2026_003804,Governance,Voting Procedure for the 26th February By-elections25th Feb 2026. Voting Procedure for the #26thFebByelections Please Note: The secrecy and sanctity of the vote must be preserved as all times. https://youtu.be/2XJWn_AE4ys #26thFebByelections | #YourVoteYourFuture | #TalkwithIEBC | #StopFakeNews,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Voting_Procedure_for_the_26th_February_By-elections,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000106"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 37, ""sentence_count"": 3, ""content_hash"": ""b57c58726c63e86550da6306927396a7fa3dc2241733734476c8a44bb8861db6"", ""original_psa_id"": ""qpsa_2026_003520"", ""quarantine_reason"": ""low_psa_score:0.32"", ""recovered_from"": ""qpsa_2026_003519"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
psa_2026_003805,Governance,"Commission commits to accurate and timely access to electoral information during annual Editors Summit in Kilifi6th Dec 2025. The Commission commits to accurate and timely access to electoral information during annual Editors Summit in Kikambala. The Commission Chairperson Erastus Ethekon, HSC alongside Commissioner Dr. Alutalala Mukhwana graced the 8th Annual Editors Summit held in Kikambala, Kilifi County. In his address, the Chairperson highlighted the vital role of an independent media in strengthening Kenya’s democratic space. He applauded the media for the role they played in informing Kenyans about the recent by-elections and exposing misconduct during the campaigns and polling day. The Chairperson also assured the media fraternity of the Commission’s commitment to sharing accurate and timely electoral information and partnering with stakeholders to ensure elections in Kenya are peaceful, free, fair and credible",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Commission_commits_to_accurate_and_timely_access_to_electoral_information_during_annual_Editors_Summit_in_Kilifi,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000146"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 133, ""sentence_count"": 7, ""content_hash"": ""e4f65e7d26f61723f70b6a75408411e7181780fd422bbefa4aa7b8b30e0b969e"", ""original_psa_id"": ""qpsa_2026_003521"", ""quarantine_reason"": ""low_psa_score:0.32"", ""recovered_from"": ""qpsa_2026_003520"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
psa_2026_003806,Governance,"Commission engages State Department for Diaspora Affairs, explores ways to enhance voting for citizens living outside Kenya11th Nov 2025. The Commission’s Technical Working Group (TWG) on Diaspora Voter Registration and Elections on Monday 3rd November, 2025 held its inaugural session in collaboration with the State Department for Diaspora Affairs (SDDA). The meeting marked the official launch of the TWG’s engagements and outlined its mandate aimed at enhancing the participation of Kenyans living abroad in the electoral processes. The meeting, which was chaired by Commissioner Ann Nderitu, CBS Chairperson of Electoral Operations Committee, discussed the Terms of Reference (TORs) guiding the TWG. She noted that the TWG will review the legal and policy framework governing diaspora voting, assess existing participation measures, develop mechanisms to improve electoral inclusion, and address logistical, legal, and administrative challenges associated with diaspora voter registration and elections. Commissioner Nderitu emphasized that the TWG will operate autonomously, with minimal involvement from Commissioners. “The role of Commissioners and the Chair will remain minimal. The TWG will carry out the technical work and present its recommendations to the Commission for policy consideration,” she clarified. Reflecting on past diaspora voter registration initiatives, Commissioner Ann noted that despite significant financial investment, the outcomes remained limited. She challenged the team to focus on innovation, efficiency, and value for money. “We need to find better, smarter ways to ensure that Kenyans abroad are effectively registered and able to vote, without incurring unsustainable costs,” she said. The State Department for Diaspora Affairs team was led by Mr. Edwin Limo, Director of Liaison and Partnerships. He reaffirmed the Department’s commitment to working with the Commission to ensure eligible Kenyans abroad are registered and able to vote as required by the Constitution",,"[""Dholuo"", ""Ekegusii"", ""Somali""]","https://www.iebc.or.ke/news/?Commission_engages_State_Department_for_Diaspora_Affairs,_explores_ways_to_enhance_voting_for_citizens_living_outside_Kenya",,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000156"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 285, ""sentence_count"": 14, ""content_hash"": ""8815b440c6a4170ab28dbbd0448540aea631ced9f1bae38fc5b913e00046df1f"", ""original_psa_id"": ""qpsa_2026_003522"", ""quarantine_reason"": ""low_psa_score:0.32"", ""recovered_from"": ""qpsa_2026_003521"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
psa_2026_003807,Governance,"Commission meets Constitutional Implementation Oversight Committee to apprise it on pending by-elections19th Oct 2025. The Commission held a meeting with the Constitutional Implementation Oversight Committee. The purpose of the engagement was to foster collaboration and assess the Commission’s readiness for the upcoming by-elections and the General Election scheduled for 10th August 2027. Chairperson Erastus Edung Ethekon, HSC, noted that the Commission’s core conducting or supervising referenda and elections for any elective body or office established under the Constitution, as well as any other elections as prescribed by an Act of Parliament. Additionally, he noted that the Commission is mandated under Article 89 to delimit electoral boundaries, including constituencies and wards. The Chairperson assured the Committee that the Commission is well-prepared to conduct both the upcoming by-elections and the 2027 General Election. He emphasized that the Commission has already put in place robust administrative structures to ensure the delivery of free, fair and credible elections. He further informed the Committee that preparations are already underway, with Continuous Voter Registration scheduled to begin on 29th September 2025, and by-elections set for 27th November 2025. The Committee led by its Chairperson Hon. Omondi Caroli expressed its full support to the Commission as it works towards delivering transparent and accountable electoral processes for the people of Kenya",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Commission_meets_Constitutional_Implementation_Oversight_Committee_to_apprise_it_on_pending_by-elections,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000169"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 213, ""sentence_count"": 10, ""content_hash"": ""d6171959fd0aae0b4febd0f35fd50f4f4bb2f0746fbaad47824c96d4bc6a67ca"", ""original_psa_id"": ""qpsa_2026_003523"", ""quarantine_reason"": ""low_psa_score:0.32"", ""recovered_from"": ""qpsa_2026_003522"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
psa_2026_003808,Security,"Commission hosts Office of Controler of Budget to benchmark on IPSAS accounting26th Feb 2025. The Commission hosted a delegation from the Office of the Controller of Budget (OCOB) for a benchmarking exercise on the implementation of the International Public Sector Accounting Standards (IPSAS) Accrual basis of accounting. The OCOB delegation, led by CPA Pamela Okatch, Chief Manager Finance and Accounts, was welcomed by the Deputy Commission Secretary - Support Services, CPA Obadiah Keitany. Keitany assured the delegation that the Commission will provide any technical support needed in their transition journey. Director Finance CPA Osman Ibrahim said the Commission adopted the International Public Sector Accounting Standards (IPSAS) accrual basis in the 2011/2012 financial year and is among the few state agencies that have fully implemented this standard of accounting. This makes IEBC a reference point for best practices in IPSAS accrual accounting. Accountants CPA Patrick Nyakira and CPA Clifford Rono were at hand to showcase the Commission’s IPSAS accrual journey, benefits gained, milestones achieved, key lessons learnt, challenges and made recommendations of how best an organization can implement the standard to ensure smooth transition from IPSAS Cash to IPSAS Accrual basis. The discussions also covered key areas including reporting on current assets and liabilities, inventories, applicable accounting policies, accrual of revenues and expenditure, contingent assets and liabilities and gratuities. CPA Pamela Okatch lauded the Commission’s commitment to financial integrity. “This has been an enlightening experience. Your team’s dedication is commendable and we look forward to further collaboration,” said Okatch. The benchmarking session reinforced the Commission’s leadership in public sector financial reporting and strengthened the mutual collaboration with OCOB in advancing best practices in accounting",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Commission_hosts_Office_of_Controler_of_Budget_to_benchmark_on_IPSAS_accounting,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000519"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 273, ""sentence_count"": 12, ""content_hash"": ""c1e982d06dbeb8ea35e62d2fee2535b360999d4e4f81fb51c16e5daa707fb5f2"", ""original_psa_id"": ""qpsa_2026_003525"", ""quarantine_reason"": ""low_psa_score:0.34"", ""recovered_from"": ""qpsa_2026_003524"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
psa_2026_003809,Governance,"Commission joins other EMBs in continental workshop on strategic, crisis communication2nd Apr 2024. The Commission Secretary and CEO, Marjan Hussein Marjan led the IEBC team and made remarks during the opening ceremony of the Continental Workshop on Strategic and Crisis Communication for African Election Management Bodies (EMBs). The continental workshop, organized by the United Nations Development Programme (UNDP), in conjunction with African Union Commission (AUC), is being held in Nairobi bringing together representatives from over 40 African countries. The workshop will enable EMBs to explore innovative pathways in the digital age for confronting an increasingly complex election management environment in Africa and ultimately build trust and inclusive electoral processes and outcomes in line with international and continental regional standards of democratic elections. In his remarks, Marjan observed that most of the negative perceptions about EMBs are brought about by lack of continuous stakeholder engagements. He emphasized on the need for EMBs to ensure stakeholders have access to information about each phase of the electoral process to create and reinforce public confidence in elections",,"[""Dholuo"", ""Ekegusii"", ""Somali""]","https://www.iebc.or.ke/news/?Commission_joins_other_EMBs_in_continental_workshop_on_strategic,_crisis_communication",,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000587"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""emergency"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 173, ""sentence_count"": 6, ""content_hash"": ""c8719d9069eef50e9b4e28edc795002501259802034522880d7c67e9ffad2014"", ""original_psa_id"": ""qpsa_2026_003526"", ""quarantine_reason"": ""low_psa_score:0.32"", ""recovered_from"": ""qpsa_2026_003525"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
psa_2026_003810,Governance,"Commission Joins Other EMBs in Continental Workshop on Strategic and Crisis Communication21st Nov 2023. The Commission Secretary/CEO, Marjan Hussein Marjan, led the IEBC team and made remarks during the opening and closing ceremony of the Continental Workshop on Strategic and Crisis Communication for African Election Management Bodies (EMBs). The continental workshop, organized by the United Nations Development Programme (UNDP), in conjunction with African Union Commission (AUC), was held in Nairobi on 23 rd to 26 th October 2023 bringing together representatives from over 40 African countries. The workshop enabled EMBs to explore innovative pathways in the digital age for confronting an increasingly complex election management environment in Africa and ultimately build trust and inclusive electoral processes and outcomes in line with international and continental regional standards of democratic elections. In his remarks, Marjan observed that most of the negative perceptions about EMBs are brought about by lack of continuous stakeholder engagements. He emphasized on the need for EMBs to ensure stakeholders have access to information about each phase of the electoral process to create and reinforce public confidence in elections",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Commission_Joins_Other_EMBs_in_Continental_Workshop_on_Strategic_and_Crisis_Communication,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000602"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""emergency"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 180, ""sentence_count"": 6, ""content_hash"": ""74376d966d7c5add72d0cf6f24eb4876817aa1b72372acb79093e946ae30d053"", ""original_psa_id"": ""qpsa_2026_003527"", ""quarantine_reason"": ""low_psa_score:0.32"", ""recovered_from"": ""qpsa_2026_003526"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
psa_2026_003811,Agriculture,"KENYA’S EDUCATION REFORMS FOCUS ON SKILLS, INNOVATION AND TECHNOLOGY, PRESIDENT RUTO. Kenya is reforming the education system to ensure that learners keep pace with a fast-changing global labour market, especially in technology, President William Ruto has said. The President said the Competency-Based Education system is more practical and focused on the development of skills, knowledge and competencies. He was speaking during a forum with the youth [...]",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.president.go.ke/kenyas-education-reforms-focus-on-skills-innovation-and-technology-president-ruto/,2026-05-11T17:57:29,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000701"", ""organization"": ""Presidency of Kenya"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""rss_feed"", ""lang_detected"": ""en"", ""token_count"": 67, ""sentence_count"": 4, ""content_hash"": ""2c3660ce07ab86202a88f01bce206b8f354ab2ce700140992d5afb5b9ad762fb"", ""original_psa_id"": ""qpsa_2026_003528"", ""quarantine_reason"": ""low_psa_score:0.32"", ""recovered_from"": ""qpsa_2026_003527"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
psa_2026_003812,Security,"Tenders and Consultancies. Tenders and Consultancies Tenders and Consultancies Discover current tender and consultancy opportunities at the Kenya Meteorological Department Contact Us Work with Us Discover tender and consultancy opportunities with the Kenya Meteorological Department. We invite qualified firms and experts to contribute innovative solutions that advance weather forecasting, climate services, and related infrastructure. Partner with us in enhancing national resilience through cutting-edge meteorological expertise. Visit our website for current opportunities and application guidelines. Contact Us No tenders or consultancies available at the moment Currently, there are no open tenders or consultancy opportunities. Please check back later",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://meteo.go.ke/organization/tenders-and-consultancies/,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_001130"", ""organization"": ""Kenya Meteorological Department"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 97, ""sentence_count"": 7, ""content_hash"": ""766e149e86e2ec175718a299ee78b68fe56616ca642e44aa37fc3cd5077a3eb2"", ""original_psa_id"": ""qpsa_2026_003531"", ""quarantine_reason"": ""low_psa_score:0.30"", ""recovered_from"": ""qpsa_2026_003530"", ""recovery"": ""psa_core_extract"", ""strict_psa_pass"": true}"
