PSA_ID,Domain,English,Kiswahili,Target Languages,Source,Date,Metadata
psa_2026_000001,Governance,"PUBLIC NOTICE15th Jul 2026. The Commission reminds all voters that taking photographs or recording images of marked ballot papers inside the polling booth is strictly prohibited and constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence. The offence is punishable by a fine not exceeding KSh 1 million, or imprisonment for a term not exceeding three years, or both. The Commission urges all voters to comply with this legal requirement in order to protect the secrecy and integrity of the ballot. For accurate and up-to-date information, please visit our official website (https://iebc.or.ke) and follow our verified social media platforms (@IEBCKenya). #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?PUBLIC_NOTICE,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000001"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 152, ""sentence_count"": 8, ""content_hash"": ""f7ff1fae453e22da5a54957bdce656b511694b7193b8618330d4446d4f90cca1"", ""original_psa_id"": ""psa_2026_000001""}"
psa_2026_000002,Governance,"EVERY VOTE MATTERS. EVERY LAW MATTERS.15th Jul 2026. EVERY VOTE MATTERS. EVERY LAW MATTERS. IEBC is committed to protecting every citizen's constitutional right to participate in a free, fair and peaceful by-election. The Commission has observed incidents that may undermine the integrity of the electoral process. Any individual, candidate, campaign team, political party or public officer found violating the Electoral Code of Conduct will face enforcement action. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?EVERY_VOTE_MATTERS._EVERY_LAW_MATTERS.,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000002"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 92, ""sentence_count"": 9, ""content_hash"": ""ff21be541156cd1b5f9f2f527b4cad29b1aa88e5a91fe7f85f07a8160a077043"", ""original_psa_id"": ""psa_2026_000002""}"
psa_2026_000003,Governance,"Submit your memoranda15th Jul 2026. Submit your memoranda for the Election Campaign Financing Regulations and the Election Campaign Contribution, Spending Limits and Authorised Expenditures. The draft documents are available on the Commission's website: https://bit.ly/4eQWFQE Deadline: Wednesday, 15th July 2026. Memoranda and submissions may be sent to lpa@iebc.or.ke or hand delivered to the Customer Experience Centre, Anniversary Towers, Ground Floor, or any Commission office across the country. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Submit_your_memoranda,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000003"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""high"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 70, ""sentence_count"": 5, ""content_hash"": ""ab8898556c211d678910ae51318dfc20f7282ced15ce322ae47bc92e4d029674"", ""original_psa_id"": ""psa_2026_000003""}"
psa_2026_000004,Governance,"Tomorrow is Voting Day15th Jul 2026. Tomorrow is Voting Day! The people of Ol Kalou Constituency in Nyandarua County will head to the polls to elect their Member of the National Assembly in the #16thJulyByElection. Polling stations will be open from 6:00 a.m. to 5:00 p.m. To vote, you must present your original National Identity Card or a valid Kenyan passport at your designated polling station. Any time lost during the opening of polling stations will be compensated at closing. All voters who are in the queue by 5:00 p.m. will be allowed to vote. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000004"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 120, ""sentence_count"": 11, ""content_hash"": ""98846a6f6acd157fbd0fe1001c199813f92ddc7feea9c290167f0b0981edc5db"", ""original_psa_id"": ""psa_2026_000004""}"
psa_2026_000005,Governance,"Voting Procedure15th Jul 2026. To vote, you MUST PRESENT YOUR ORIGINAL NATIONAL IDENTITY CARD or a VALID KENYAN PASSPORT at your designated polling station. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByelections #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Voting_Procedure,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000005"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 49, ""sentence_count"": 4, ""content_hash"": ""cf5e040a7c1a189abeb072ea8338ca6796cfb30fffd529a895654116ba2769f6"", ""original_psa_id"": ""psa_2026_000005""}"
psa_2026_000006,Governance,"Sample of correctly marked ballot paper15th Jul 2026. Sample of correctly marked ballot paper for the #16thJulyByElection. Use one mark only on the ballot paper. For accurate and up-to-date information, please visit the IEBC official website and follow our verified social media platforms (@IEBCKenya). Your Vote, Your Voice. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Sample_of_correctly_marked_ballot_paper,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000006"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 51, ""sentence_count"": 6, ""content_hash"": ""7a8a5dba7725ed2dbf0e866e65ba7edadddbc5b24d46988e520c2f00efc18482"", ""original_psa_id"": ""psa_2026_000006""}"
psa_2026_000007,Education,"IEBC, HURIA Explore Partnership to Strengthen Voter Education and Youth Civic Participation14th Jul 2026. The Independent Electoral and Boundaries Commission (IEBC), today led by Vice Chairperson Fahima Araphat Abdalla, OGW, held a meeting with Human Rights Agenda (HURIA), a human rights organization based in Kenya's Coast region. The purpose of the meeting was to explore areas of collaboration that complement the Commission's constitutional mandate. Speaking during the meeting, the Vice Chairperson thanked the HURIA team for seeking to partner with the Commission in ensuring that young people are actively involved in educating their peers on issues that matter to them, particularly civic participation, inclusion and voter registration. She reaffirmed the Commission's commitment to strengthening collaboration with HURIA to enhance voter education initiatives at the grassroots, ensuring that young people and all eligible Kenyans receive accurate and timely information to enable them to make informed electoral decisions. She emphasized that voting is a constitutional right of every Kenyan and that providing voter education remains a core mandate of the IEBC. HURIA is currently preparing to implement a five-year programme, Rebuilding the Youth–State Social Contract as a Foundation for Enduring Security, Stability and Democratic Resilience at the Coast , which seeks to strengthen trust between young people and public institutions. The programme adopts a human rights-based approach to strengthening democratic resilience by addressing the underlying drivers of mistrust, exclusion, insecurity and violence affecting young people. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]","https://www.iebc.or.ke/news/?IEBC,_HURIA_Explore_Partnership_to_Strengthen_Voter_Education_and_Youth_Civic_Participation",,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000008"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 237, ""sentence_count"": 9, ""content_hash"": ""d6c821904f5f9fc6658129b48041ff7e50905998baff0281082bad30f92360e1"", ""original_psa_id"": ""psa_2026_000008""}"
psa_2026_000008,Governance,"IEBC Electoral Code Committee Finds Nakuru Town East MP Guilty of Code of Conduct Breach14th Jul 2026. The IEBC Electoral Code of Conduct Enforcement Committee, chaired by Commissioner Dr. Alutalala Mukhwana, has found the Member of the National Assembly for Nakuru Town East, Hon. David Gikaria, guilty of breaching the Electoral Code of Conduct. The Committee imposed several sanctions, including directing the legislator to issue a public apology and formally retract the offending remarks. He was also warned against committing similar violations in future, with the Committee cautioning that any subsequent breaches will attract more severe penalties, including the possibility of being barred from participating in elective politics. Additionally, Hon. Gikaria has been ordered to pay a fine of KSh 2.5 million within 48 hours. The Committee has also referred the matter to the Office of the Director of Public Prosecutions (ODPP) for investigation into possible offences under the Election Offences Act. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000009"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""high"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 156, ""sentence_count"": 9, ""content_hash"": ""845706cff69450800115fce0e130dffda3d587bc41f11cb8f73d1d943c3cc277"", ""original_psa_id"": ""psa_2026_000009""}"
psa_2026_000009,Governance,"Press Release - Update on Preparedness for the 16th July 2026 Ol Kalou By-Election14th Jul 2026. The Commission wishes to inform the nation that all preparations for the by-election scheduled for Thursday, 16th July 2026, to fill the position of Member of National Assembly for Ol Kalou Constituency in Nyandarua County are progressing as planned. All registered voters in Ol Kalou Constituency MUST present their national identity card or valid passport on polling day, as these remain the primary identification documents required for voting. The Register of Voters for the Ol Kalou Constituency by-election remains secure. Claims that the Register has been manipulated are false, misleading and unsupported by evidence. The Commission condemns such misleading claims and urges all stakeholders to refrain from spreading misinformation and disinformation. Polling stations will open at 6:00 a.m. and close at 5:00 p.m. Where polling commences later than scheduled due to unforeseen circumstances, the lost time will be compensated to ensure that voters receive the full polling period. All voters who are in the queue by 5:00 p.m. will be allowed to cast their ballots. Taking photographs or recording images of marked ballot papers inside the polling booth is strictly prohibited and constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. The Commission, in close collaboration with the National Police Service, has put in place adequate security arrangements to ensure a peaceful and orderly electoral process. Two uniformed police officers will be deployed at every polling station, while additional officers will be stationed at tallying centres to maintain law and order and safeguard the integrity of the election. All political parties, candidates, agents and supporters are reminded that compliance with the Electoral Code of Conduct is mandatory. The Commission will not hesitate to invoke all enforcement measures provided for under the Electoral Code of Conduct without fear or favour. The Commission's investigation team is actively investigating all alleged violations with a view to fully enforcing the Code. The Commission calls upon voters, political parties, candidates, observers, civil society organizations and members of the public to report any electoral offence or breach of the Electoral Code of Conduct. Members of the public are encouraged to REPORT and PROVIDE evidence of any electoral malpractice to the Commission, the National Police Service or any other authorized investigative agency. The Commission remains steadfast in its commitment to delivering a peaceful, free, fair, transparent and credible election whose outcome reflects the freely expressed will of the people. Registered voters of Ol Kalou Constituency: Your vote is your voice. Turn out in large numbers, cast your ballot and peacefully shape the future of your constituency. Download: https://bit.ly/3R5P5sh #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Press_Release_-__Update_on_Preparedness_for_the_16th_July_2026_Ol_Kalou_By-Election,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000010"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 448, ""sentence_count"": 24, ""content_hash"": ""04c46852db605edb003934fbfb9c0f9b548de93991146835b795b2ac5bd3183e"", ""original_psa_id"": ""psa_2026_000010""}"
psa_2026_000010,Governance,"Regional Electoral Management Bodies Capacity-Building Programme Concludes in Machakos12th Jun 2026. The Regional Electoral Management Bodies (EMBs) Capacity-Building and Experience-Sharing Programme in Machakos County, where the IEBC Chairperson, Vice-Chairperson, Commissioners and senior members of staff participated, has successfully concluded. Over the past three days, electoral leaders and senior officials from Kenya, Seychelles, Malawi, and Uganda engaged in insightful discussions on electoral governance, leadership, electoral integrity, stakeholder engagement, emerging technologies, misinformation and disinformation, crisis communication, and dispute resolution. The closing ceremony was presided over by IEBC Chairperson Erastus Ethekon, as the host, who reiterated the importance of continuous learning, collaboration, and innovation in strengthening electoral processes across the region. Participants expressed their appreciation to COMESA, EISA, and the Independent Electoral and Boundaries Commission (IEBC) for providing a valuable platform for peer learning and knowledge exchange. They noted that the lessons and best practices gained during the programme will be applied to improve election management in their respective countries",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Regional_Electoral_Management_Bodies_Capacity-Building_Programme_Concludes_in_Machakos,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000014"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""emergency"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 157, ""sentence_count"": 6, ""content_hash"": ""22ba844ac38d7a88697b7fb9dbe9d026e8c6beea5ef06e00fec7955f54d74d4f"", ""original_psa_id"": ""psa_2026_000014""}"
psa_2026_000011,Education,"IEBC Presents Electoral Reforms and 2027 General Election Preparedness to Senate Committee12th Jun 2026. The Commission today appeared before the Senate Standing Committee on Justice, Legal Affairs and Human Rights (JLAHRC), led by Chairperson Senator Hillary K. Sigei, CBS, to present submissions on electoral legal reforms and the Commission's preparedness for the 2027 General Election. The Independent Electoral and Boundaries Commission (IEBC) was led by Deputy Commission Secretary – Operations, Ruth Kulundu, who represented the Ag. Commission Secretary/CEO, Moses Sunkuli, OGW. During the session, the Commission outlined a series of strategic, operational, institutional and legal interventions aimed at ensuring timely and effective preparation for the upcoming General Election. Kulundu informed the Committee that the Commission's Strategic Plan 2024–2029 and Election Operations Plan 2025–2027 have been finalised and will be launched soon. The two strategic documents provide a comprehensive framework for delivering the IEBC’s constitutional mandate and identify key interventions aimed at strengthening participation, inclusion, citizen engagement, promoting equitable representation and enhancing institutional resilience. The Election Operations Plan serves as the primary roadmap for planning, coordinating and implementing electoral activities in the lead-up to the 2027 General Election. The Commission reaffirmed its commitment to delivering a credible, transparent, inclusive and efficient electoral process, and emphasized that preparations for the 2027 General Election remain firmly on course. #16thJulyByelection #KuraYakoSautiYako #IEBCStrategicPlan #IEBCEOP",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?IEBC_Presents_Electoral_Reforms_and_2027_General_Election_Preparedness_to_Senate_Committee,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000015"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 219, ""sentence_count"": 11, ""content_hash"": ""adbcd622626d16ffa4fb34cc9a6ae049dc3e6fc9787fed0187d50b59c3a68452"", ""original_psa_id"": ""psa_2026_000015""}"
