PSA_ID,Domain,English,Kiswahili,Target Languages,Source,Date,Metadata
psa_2026_000001,Governance,"PUBLIC NOTICE15th Jul 2026. The Commission reminds all voters that taking photographs or recording images of marked ballot papers inside the polling booth is strictly prohibited and constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence. The offence is punishable by a fine not exceeding KSh 1 million, or imprisonment for a term not exceeding three years, or both. The Commission urges all voters to comply with this legal requirement in order to protect the secrecy and integrity of the ballot. For accurate and up-to-date information, please visit our official website (https://iebc.or.ke) and follow our verified social media platforms (@IEBCKenya). #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?PUBLIC_NOTICE,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000001"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 152, ""sentence_count"": 8, ""content_hash"": ""f7ff1fae453e22da5a54957bdce656b511694b7193b8618330d4446d4f90cca1"", ""original_psa_id"": ""psa_2026_000001"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 1.0, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
psa_2026_000002,Governance,"Submit your memoranda15th Jul 2026. Submit your memoranda for the Election Campaign Financing Regulations and the Election Campaign Contribution, Spending Limits and Authorised Expenditures. The draft documents are available on the Commission's website: https://bit.ly/4eQWFQE Deadline: Wednesday, 15th July 2026. Memoranda and submissions may be sent to lpa@iebc.or.ke or hand delivered to the Customer Experience Centre, Anniversary Towers, Ground Floor, or any Commission office across the country. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Submit_your_memoranda,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000003"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""high"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 70, ""sentence_count"": 5, ""content_hash"": ""ab8898556c211d678910ae51318dfc20f7282ced15ce322ae47bc92e4d029674"", ""original_psa_id"": ""psa_2026_000003"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 0.44, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
psa_2026_000003,Governance,"Tomorrow is Voting Day15th Jul 2026. Tomorrow is Voting Day! The people of Ol Kalou Constituency in Nyandarua County will head to the polls to elect their Member of the National Assembly in the #16thJulyByElection. Polling stations will be open from 6:00 a.m. to 5:00 p.m. To vote, you must present your original National Identity Card or a valid Kenyan passport at your designated polling station. Any time lost during the opening of polling stations will be compensated at closing. All voters who are in the queue by 5:00 p.m. will be allowed to vote. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000004"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 120, ""sentence_count"": 11, ""content_hash"": ""98846a6f6acd157fbd0fe1001c199813f92ddc7feea9c290167f0b0981edc5db"", ""original_psa_id"": ""psa_2026_000004"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 0.68, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
psa_2026_000004,Governance,"Voting Procedure15th Jul 2026. To vote, you MUST PRESENT YOUR ORIGINAL NATIONAL IDENTITY CARD or a VALID KENYAN PASSPORT at your designated polling station. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByelections #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Voting_Procedure,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000005"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 49, ""sentence_count"": 4, ""content_hash"": ""cf5e040a7c1a189abeb072ea8338ca6796cfb30fffd529a895654116ba2769f6"", ""original_psa_id"": ""psa_2026_000005"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 0.44, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
psa_2026_000005,Governance,"IEBC Electoral Code Committee Finds Nakuru Town East MP Guilty of Code of Conduct Breach14th Jul 2026. The IEBC Electoral Code of Conduct Enforcement Committee, chaired by Commissioner Dr. Alutalala Mukhwana, has found the Member of the National Assembly for Nakuru Town East, Hon. David Gikaria, guilty of breaching the Electoral Code of Conduct. The Committee imposed several sanctions, including directing the legislator to issue a public apology and formally retract the offending remarks. He was also warned against committing similar violations in future, with the Committee cautioning that any subsequent breaches will attract more severe penalties, including the possibility of being barred from participating in elective politics. Additionally, Hon. Gikaria has been ordered to pay a fine of KSh 2.5 million within 48 hours. The Committee has also referred the matter to the Office of the Director of Public Prosecutions (ODPP) for investigation into possible offences under the Election Offences Act. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000009"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""high"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 156, ""sentence_count"": 9, ""content_hash"": ""845706cff69450800115fce0e130dffda3d587bc41f11cb8f73d1d943c3cc277"", ""original_psa_id"": ""psa_2026_000006"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 0.71, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
psa_2026_000006,Governance,"Accreditation Open for Election Observers and Media Practitioners for Ol-Kalou By-Election4th Jun 2026. PUBLIC NOTICE The Independent Electoral and Boundaries Commission (IEBC) invites applications from eligible organizations to be accredited as: 1. Election Observers 2. Media Practitioners for the Ol-Kalou Constituency Member of National Assembly (MNA) By-Election scheduled for Thursday, 16th July 2026. How to Apply: Submit your application via the IEBC Accreditation Management System (AMS): https://ams.iebc.or.ke Application Deadline: Tuesday, 30th June 2026 at 5.00 p.m. Download the official advert: https://bit.ly/49Le0rr #16thJulyByelection #KuraYakoSautiYako #IEBCStrategicPlan #IEBCEOP",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000019"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""high"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 85, ""sentence_count"": 6, ""content_hash"": ""9cf203803caf309f11477867e9118666ab55d146df34592452a6e95bb7252478"", ""original_psa_id"": ""psa_2026_000008"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 1.0, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
psa_2026_000007,Governance,"Public Notice: No Photos or Videos Allowed Inside Polling Booths14th May 2026. Public Notice DO NOT take Photos or Record videos in the Polling Booth. The secrecy and sanctity of the vote must be preserved at all times. Photography and Video Recording is strictly PROHIBITED in the POLLING BOOTH. Doing so constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence. The offence is punishable by: a fine not exceeding KSh 1 million, or imprisonment for a term not exceeding 3 years, or both. #14thMayByelections #16thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000025"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 136, ""sentence_count"": 9, ""content_hash"": ""7c43397d96e3ac7f7a0984b5faeb7551f4ec129030bda427ccce944ea78858d1"", ""original_psa_id"": ""psa_2026_000011"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 0.86, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
psa_2026_000008,Governance,"IEBC Vice Chairperson Fahima Araphat Abdallah, OGW, Leads IEBC Team in 2027 Budget Presentation to JLAC14th May 2026. The Commission, led by Vice Chairperson Fahima Araphat Abdallah, OGW, appeared before the National Assembly Departmental Committee on Justice and Legal Affairs (JLAC) on May 12th 2026, chaired by Hon. George Gitonga Murugara, to present the 2027 General Election budget, implementation status for the FY 2025/26 budget, project information, proposed new projects and pending bills. The Vice-Chairperson emphasized that credible elections require more than ballot papers, highlighting the importance of logistics, ICT systems, transport, ballot boxes and other operational services. Further, she observed that stakeholder engagements with diverse groups across the country is essential for electoral preparedness ahead of the 2027 General Election. She explained that different forums are required for youth, persons with disabilities, marginalized communities, and constituency-based stakeholders. The Commission also confirmed that simulation exercises and testing of election technology had been budgeted for to ensure adequate preparedness. Other activities include Enhanced Continuous Voter Registration - Phase Two, expansion of diaspora voter registration to more countries, procurement of additional Kenya Integrated Management System kits, and geospatial mapping of new polling stations in response to growth in the register of voters. JLAC members urged the Commission to have clear electoral timelines and timely reforms. In response, the Commission stated that all timelines had been incorporated into the Electoral Operations Plan and Strategic Plan, which are to be launched in June 2026 following stakeholder validation. The Committee assured the Commission of its support, while emphasizing the need for timely preparations, cost efficiency and value for public funds. #14thMayByelections #16thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]","https://www.iebc.or.ke/news/?IEBC_Vice_Chairperson_Fahima_Araphat_Abdallah,_OGW,_Leads_IEBC_Team_in_2027_Budget_Presentation_to_JLAC",,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000026"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 270, ""sentence_count"": 12, ""content_hash"": ""067300b4258d81aa299785898b9116078d5790a18e02547d73d5e3d476fd939d"", ""original_psa_id"": ""psa_2026_000012"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 0.95, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
psa_2026_000009,Governance,"IEBC Commissioner Dr. Alutalala Mukhwana Strengthens ECVR Drive in Marsabit and Laikipia25th Apr 2026. As the Marsabit County ECVR mobilization and backstopping mission concluded, Commissioner Dr. Alutalala Mukhwana visited the Independent Electoral and Boundaries Commission(IEBC) Laisamis Constituency Office, where he engaged Senior Elections Officer Benson Esuza and ECVR clerks for feedback. He commended the team for an exceptional performance surpassing their target at 124% despite challenging conditions, with success attributed to strong collaboration with chiefs, assistant chiefs, and village elders. The Commissioner then proceeded to Laikipia County, where he paid a courtesy call to County Commissioner Duncan Muyesu, appreciating the continued partnership with the IEBC Laikipia team. The County Commissioner reaffirmed his commitment to ensuring that no eligible voter is left behind. In a subsequent engagement, Commissioner Dr. Alutalala Mukhwana met IEBC Laikipia staff led by County Elections Manager Obadiah Gacoki, alongside ECVR clerks and key stakeholders, including Boda Boda representatives from Nanyuki. He applauded their efforts and urged them to maximize the remaining days of registration. The session also provided a platform for feedback, voter education, and strategy alignment to accelerate outreach. The takeaway: collaboration, local leadership and urgency remain central to delivering an inclusive and successful voter registration exercise. #ECVR2026 #YourVoteYourFuture #14thMayByelections #TalkWithIEBC #StopFakeNews",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?IEBC_Commissioner_Dr._Alutalala_Mukhwana_Strengthens_ECVR_Drive_in_Marsabit_and_Laikipia,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000038"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 206, ""sentence_count"": 13, ""content_hash"": ""8c24c5c187d4bd109b5ac9e1c3a75afc082d4a68dff65a8dacb6bf0b1f7ea6a7"", ""original_psa_id"": ""psa_2026_000016"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.63, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 0.74, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
psa_2026_000010,Governance,"Distance is not a barrier to Democracy...21st Apr 2026. Distance is not a barrier to Democracy...A return trip of approximately 1,060 kilometres from Nairobi, through punishing terrain and a hostile climate, lies a truth we often forget: Every Kenyan voice matters. Dr. Alutalala Mukhwana is currently in Marsabit County to support our dedicated Independent Electoral and Boundaries Commission(IEBC) staff and engage with the resilient people of this vast region. Seeing the ""forgotten"" corners like Saru finally reached, and residents registered, reminds us that no community is too far and no distance is too great for democracy. Marsabit is a beautiful, rugged reminder that Kenya is diverse, and our mission for 100% electoral inclusion is far from over. Life is a journey, and we have officially embarked on the path to ensure that every resident of this great county has a seat at the table. The mission is clear: Inclusion. Participation. Dignity. https://youtu.be/nKtFkSni7oM?si=bMFZhEiAChBYUEuF",,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Distance_is_not_a_barrier_to_Democracy...,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000042"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 152, ""sentence_count"": 7, ""content_hash"": ""e4aee3391bbba54e6b4574e3b4a6629d67404a43ca19d0d4817b52bf500a842e"", ""original_psa_id"": ""psa_2026_000018"", ""strict_psa_pass"": true, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""framework_reason"": ""public_action_advisory_or_alert"", ""legacy_classifier_score"": 0.59, ""legacy_gate_reason"": null, ""framework_keep"": true, ""synthetic"": false}"
