PSA_ID,Domain,English,Kiswahili,Target Languages,Source,Metadata
PSA_HEA_4721c4,Health,Ministry of Health advises all parents to take children under five years for free polio vaccination.,,,Official Press Release Archive,Language: en 
PSA_HEA_d81c4e,Health,,Wizara ya Afya inawasihi wazazi wote kuwapeleka watoto chini ya miaka mitano kupata chanjo ya polio bila malipo.,,Official Press Release Archive,Language: sw 
PSA_HEA_c7955b,Health,Public Health Advisory: Wash hands with clean water and soap to prevent the spread of cholera.,,,Official Press Release Archive,Language: en 
PSA_HEA_08140e,Health,,Tahadhari ya Afya ya Umma: Osha mikono kwa maji safi na sabuni ili kuzuia kuenea kwa kipindupindu.,,Official Press Release Archive,Language: sw 
PSA_HEA_426a81,Health,National Malaria Control Program urges residents in endemic regions to sleep under treated mosquito nets.,,,Official Press Release Archive,Language: en 
PSA_HEA_96220e,Health,,Programu ya Kitaifa ya Kudhibiti Homa ya Mbu inawasihi wakazi wa maeneo yaliyoathirika kulala ndani ya vyandarua vilivyowekwa dawa.,,Official Press Release Archive,Language: sw 
PSA_AGR_3e8ee9,Agriculture,Ministry of Agriculture alerts farmers to inspect crops for fall armyworm invasion and apply recommended pesticides.,,,Official Press Release Archive,Language: en 
PSA_AGR_e48cc1,Agriculture,,Wizara ya Kilimo inawatahadharisha wakulima kukagua mazao dhidi ya invesheni ya kiwavi jeshi na kutumia dawa zilizopendekezwa.,,Official Press Release Archive,Language: sw 
PSA_AGR_fde349,Agriculture,Farmers are advised to prepare land early in anticipation of the upcoming short rains.,,,Official Press Release Archive,Language: en 
PSA_AGR_cca20b,Agriculture,,Wakulima wanashauriwa kutayarisha mashamba mapema kutarajia mvua fupi zinazokuja.,,Official Press Release Archive,Language: sw 
PSA_AGR_d28847,Agriculture,State Department for Livestock releases guidelines on foot and mouth disease vaccination for cattle.,,,Official Press Release Archive,Language: en 
PSA_AGR_7a1ef8,Agriculture,,Idara ya Serikali ya Mifugo imetoa mwelekeo kuhusu chanjo ya ugonjwa wa miguu na mdomo kwa ng'ombe.,,Official Press Release Archive,Language: sw 
PSA_SEC_eb7a20,Security,NTSA reminds all motorists to strictly observe speed limits and ensure safety belts are fastened.,,,Official Press Release Archive,Language: en 
PSA_SEC_93331c,Security,,NTSA inawakumbusha madereva wote kuzingatia kwa makini viwango vya kasi na kuhakikisha mikanda ya usalama imefungwa.,,Official Press Release Archive,Language: sw 
PSA_SEC_b678b2,Security,National Police Service urges members of the public to report any suspicious activities via toll-free number 999.,,,Official Press Release Archive,Language: en 
PSA_SEC_41fdc1,Security,,Idara ya Polisi inawasihi wananchi kuripoti shughuli zozote za kutiliwa shaka kupitia nambari ya bila malipo 999.,,Official Press Release Archive,Language: sw
PSA_SEC_18d5d1,Security,Disaster Management Unit warns residents near riverbanks to move to higher ground due to rising floodwaters.,,,Official Press Release Archive,Language: en 
PSA_SEC_713fd6,Security,,Kitengo cha Usimamizi wa Maafa kinawatahadharisha wakazi walio karibu na kingo za mito kuhamia maeneo ya juu kutokana na kuongezeka kwa maji ya mafuriko.,,Official Press Release Archive,Language: sw 
PSA_GOV_ba58a4,Governance,IEBC reminds voters to verify their details via SMS or at local registration centers.,,,Official Press Release Archive,Language: en 
PSA_GOV_ecd457,Governance,,IEBC inawakumbusha wapiga kura kuhakiki maelezo yao kupitia SMS au katika vituo vya usajili vya mtaani.,,Official Press Release Archive,Language: sw
PSA_EDU_b43f8f,Education,KUCCPS announces the opening of the online portal for university and college application revisions.,,,Official Press Release Archive,Language: en
PSA_EDU_549240,Education,,KUCCPS imetangaza kufunguliwa kwa mtandao wa maombi ya kurekebisha kozi za chuo kikuu na vyuo vikuu.,,Official Press Release Archive,Language: sw 
PSA_GOV_656916,Governance,EACC urges public servants to declare their wealth in compliance with leadership and integrity laws.,,,Official Press Release Archive,Language: en 
PSA_GOV_6d8c64,Governance,,EACC inawasihi watumishi wa umma kutangaza mali zao kwa kuzingatia sheria za uongozi na uadilifu.,,Official Press Release Archive,Language: sw
PSA_GOV_d01e54,Governance,1600 Refugees to take Prior Learning programme Assessment in Kakuma and Dadaab.,,,PressRelease Feed,Language: en
PSA_GOV_21d82a,Governance,"The Kenya National Qualifications Authority (KNQA), in partnership with UNHCR Kenya, has advanced the Recognition of Prior Learning (RPL) programme for forcibly displaced persons and host communities in Kakuma after completing awareness, pre-screening, screening, career guidance and counselling.",,,PressRelease Feed,Language: en
PSA_GOV_331995,Governance,"The programme entered the Portfolio of Evidence assessment phase from July 8 to 15, 2026, targeting at least 1,200 candidates.",,,PressRelease Feed,Language: en
PSA_GOV_35b670,Governance,"More than 6,500 people in Kakuma and Dadaab have been reached, with over 1,600 candidates screened and prepared for assessment to support inclusive skills recognition, lifelong learning and socio-economic empowerment.",,,PressRelease Feed,Language: en
PSA_GOV_4bd382,Governance,"Peter Wekesa, updated UNHCR Kakuma officials on the programme's progress.",,,PressRelease Feed,Language: en
PSA_GOV_8b99fa,Governance,Successful candidates will have their nationally recognized qualifications uploaded to the Kenya National Qualifications Database which provides an opportutntu for them study and get jobs.,,,PressRelease Feed,Language: en
PSA_GOV_4bd8e7,Governance,BoC Statement on Partnering With Scale yo Launch Virtual Prepaid Mastercard Cards in Africa.,,,PressRelease Feed,Language: en
PSA_GOV_f37e19,Governance,BOC Technologies Limited (BoC) Statement on Partnering with Scale to Launch Virtual Prepaid Mastercard Cards in Africa for creators and creative businesses.,,,PressRelease Feed,Language: en
PSA_EDU_3fc5bb,Education,KUCCPS 2026 University Placement Results - Live.,,,PressRelease Feed,Language: en
PSA_EDU_75a910,Education,KUCCPS 2026 University placement results are being released today.,,,PressRelease Feed,Language: en
PSA_GOV_35ca2f,Governance,Opening Ceremony of the 26th AGM of ATIDI in Nairobi..,,,PressRelease Feed,Language: en
PSA_GOV_041ef5,Governance,"Opening Ceremony of the 26th AGM of the African Trade and Investment Development Insurance (ATIDI), Nairobi.",,,PressRelease Feed,Language: en
PSA_GOV_f94793,Governance,Court of Appeal Proceedings on the Proposed Safaricom Share Sale.,,,PressRelease Feed,Language: en
PSA_GOV_957326,Governance,Oral Submission at the Court of Appeal on the Proposed Safaricom Share Sale.,,,PressRelease Feed,Language: en
PSA_GOV_2470d2,Governance,KenGen  Inaugural Sustainability Report Launch 2026.,,,PressRelease Feed,Language: en
PSA_GOV_d34b09,Governance,KenGen unveils its first Sustainability Report that highlights decades of transformative impact across Kenya.,,,PressRelease Feed,Language: en
