PSA_ID,Domain,English,English_norm,Kiswahili,Kiswahili_norm,Target Languages,Source,Date,Metadata,token_count,char_count,sentence_count,lang_primary,code_switch,sw_cue_count,has_kiswahili,glossary_hits,glossary_hit_count,url_count,hashtag_count,mention_count,split,validation_subset
psa_2026_000002,Governance,"EVERY VOTE MATTERS. EVERY LAW MATTERS.15th Jul 2026. EVERY VOTE MATTERS. EVERY LAW MATTERS. IEBC is committed to protecting every citizen's constitutional right to participate in a free, fair and peaceful by-election. The Commission has observed incidents that may undermine the integrity of the electoral process. Any individual, candidate, campaign team, political party or public officer found violating the Electoral Code of Conduct will face enforcement action. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews","EVERY VOTE MATTERS. EVERY LAW MATTERS.15th Jul 2026. EVERY VOTE MATTERS. EVERY LAW MATTERS. IEBC is committed to protecting every citizen's constitutional right to participate in a free, fair and peaceful by-election. The Commission has observed incidents that may undermine the integrity of the electoral process. Any individual, candidate, campaign team, political party or public officer found violating the Electoral Code of Conduct will face enforcement action. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16 thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?EVERY_VOTE_MATTERS._EVERY_LAW_MATTERS.,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000002"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 92, ""sentence_count"": 9, ""content_hash"": ""ff21be541156cd1b5f9f2f527b4cad29b1aa88e5a91fe7f85f07a8160a077043"", ""original_psa_id"": ""psa_2026_000002"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""IEBC""]}",97,698,11,en,false,0,false,IEBC,1,1,4,1,train,false
psa_2026_000003,Governance,"Submit your memoranda15th Jul 2026. Submit your memoranda for the Election Campaign Financing Regulations and the Election Campaign Contribution, Spending Limits and Authorised Expenditures. The draft documents are available on the Commission's website: https://bit.ly/4eQWFQE Deadline: Wednesday, 15th July 2026. Memoranda and submissions may be sent to lpa@iebc.or.ke or hand delivered to the Customer Experience Centre, Anniversary Towers, Ground Floor, or any Commission office across the country. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews","Submit your memoranda 15th Jul 2026. Submit your memoranda for the Election Campaign Financing Regulations and the Election Campaign Contribution, Spending Limits and Authorised Expenditures. The draft documents are available on the Commission's website: https://bit.ly/4 eQWFQE Deadline: Wednesday, 15th July 2026. Memoranda and submissions may be sent to lpa@iebc.or.ke or hand delivered to the Customer Experience Centre, Anniversary Towers, Ground Floor, or any Commission office across the country. #16 thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Submit_your_memoranda,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000003"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""high"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 70, ""sentence_count"": 5, ""content_hash"": ""ab8898556c211d678910ae51318dfc20f7282ced15ce322ae47bc92e4d029674"", ""original_psa_id"": ""psa_2026_000003"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""IEBC""]}",79,571,7,en,false,0,false,IEBC,1,1,4,1,train,false
psa_2026_000004,Governance,"Tomorrow is Voting Day15th Jul 2026. Tomorrow is Voting Day! The people of Ol Kalou Constituency in Nyandarua County will head to the polls to elect their Member of the National Assembly in the #16thJulyByElection. Polling stations will be open from 6:00 a.m. to 5:00 p.m. To vote, you must present your original National Identity Card or a valid Kenyan passport at your designated polling station. Any time lost during the opening of polling stations will be compensated at closing. All voters who are in the queue by 5:00 p.m. will be allowed to vote. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews","Tomorrow is Voting Day 15th Jul 2026. Tomorrow is Voting Day! The people of Ol Kalou Constituency in Nyandarua County will head to the polls to elect their Member of the National Assembly in the #16 thJulyByElection. Polling stations will be open from 6:00 a.m. to 5:00 p.m. To vote, you must present your original National Identity Card or a valid Kenyan passport at your designated polling station. Any time lost during the opening of polling stations will be compensated at closing. All voters who are in the queue by 5:00 p.m. will be allowed to vote. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16 thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Tomorrow_is_Voting_Day,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000004"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 120, ""sentence_count"": 11, ""content_hash"": ""98846a6f6acd157fbd0fe1001c199813f92ddc7feea9c290167f0b0981edc5db"", ""original_psa_id"": ""psa_2026_000004"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""IEBC"", ""county""]}",132,787,15,en,false,0,false,IEBC|county,2,1,5,1,train,false
psa_2026_000005,Governance,"Voting Procedure15th Jul 2026. To vote, you MUST PRESENT YOUR ORIGINAL NATIONAL IDENTITY CARD or a VALID KENYAN PASSPORT at your designated polling station. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16thJulyByelections #YourVoteYourVoice #TalkWithIEBC #StopFakeNews","Voting Procedure 15th Jul 2026. To vote, you MUST PRESENT YOUR ORIGINAL NATIONAL IDENTITY CARD or a VALID KENYAN PASSPORT at your designated polling station. For accurate, timely and verified election information, visit our official website at https://iebc.or.ke and follow our verified social media platforms @IEBCKenya. #16 thJulyByelections #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Voting_Procedure,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000005"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 49, ""sentence_count"": 4, ""content_hash"": ""cf5e040a7c1a189abeb072ea8338ca6796cfb30fffd529a895654116ba2769f6"", ""original_psa_id"": ""psa_2026_000005"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""IEBC""]}",54,390,5,en,false,0,false,IEBC,1,1,4,1,train,false
psa_2026_000006,Governance,"IEBC Electoral Code Committee Finds Nakuru Town East MP Guilty of Code of Conduct Breach14th Jul 2026. The IEBC Electoral Code of Conduct Enforcement Committee, chaired by Commissioner Dr. Alutalala Mukhwana, has found the Member of the National Assembly for Nakuru Town East, Hon. David Gikaria, guilty of breaching the Electoral Code of Conduct. The Committee imposed several sanctions, including directing the legislator to issue a public apology and formally retract the offending remarks. He was also warned against committing similar violations in future, with the Committee cautioning that any subsequent breaches will attract more severe penalties, including the possibility of being barred from participating in elective politics. Additionally, Hon. Gikaria has been ordered to pay a fine of KSh 2.5 million within 48 hours. The Committee has also referred the matter to the Office of the Director of Public Prosecutions (ODPP) for investigation into possible offences under the Election Offences Act. #16thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews","IEBC Electoral Code Committee Finds Nakuru Town East MP Guilty of Code of Conduct Breach 14th Jul 2026. The IEBC Electoral Code of Conduct Enforcement Committee, chaired by Commissioner Dr. Alutalala Mukhwana, has found the Member of the National Assembly for Nakuru Town East, Hon. David Gikaria, guilty of breaching the Electoral Code of Conduct. The Committee imposed several sanctions, including directing the legislator to issue a public apology and formally retract the offending remarks. He was also warned against committing similar violations in future, with the Committee cautioning that any subsequent breaches will attract more severe penalties, including the possibility of being barred from participating in elective politics. Additionally, Hon. Gikaria has been ordered to pay a fine of KSh 2.5 million within 48 hours. The Committee has also referred the matter to the Office of the Director of Public Prosecutions (ODPP) for investigation into possible offences under the Election Offences Act. #16 thJulyByElection #YourVoteYourVoice #TalkWithIEBC #StopFakeNews",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?IEBC_Electoral_Code_Committee_Finds_Nakuru_Town_East_MP_Guilty_of_Code_of_Conduct_Breach,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000009"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""high"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 156, ""sentence_count"": 9, ""content_hash"": ""845706cff69450800115fce0e130dffda3d587bc41f11cb8f73d1d943c3cc277"", ""original_psa_id"": ""psa_2026_000006"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""IEBC"", ""KSh""]}",159,1079,10,en,false,0,false,IEBC|KSh,2,0,4,0,train,false
psa_2026_000007,Education,"IEBC Presents Electoral Reforms and 2027 General Election Preparedness to Senate Committee12th Jun 2026. The Commission today appeared before the Senate Standing Committee on Justice, Legal Affairs and Human Rights (JLAHRC), led by Chairperson Senator Hillary K. Sigei, CBS, to present submissions on electoral legal reforms and the Commission's preparedness for the 2027 General Election. The Independent Electoral and Boundaries Commission (IEBC) was led by Deputy Commission Secretary – Operations, Ruth Kulundu, who represented the Ag. Commission Secretary/CEO, Moses Sunkuli, OGW. During the session, the Commission outlined a series of strategic, operational, institutional and legal interventions aimed at ensuring timely and effective preparation for the upcoming General Election. Kulundu informed the Committee that the Commission's Strategic Plan 2024–2029 and Election Operations Plan 2025–2027 have been finalised and will be launched soon. The two strategic documents provide a comprehensive framework for delivering the IEBC’s constitutional mandate and identify key interventions aimed at strengthening participation, inclusion, citizen engagement, promoting equitable representation and enhancing institutional resilience. The Election Operations Plan serves as the primary roadmap for planning, coordinating and implementing electoral activities in the lead-up to the 2027 General Election. The Commission reaffirmed its commitment to delivering a credible, transparent, inclusive and efficient electoral process, and emphasized that preparations for the 2027 General Election remain firmly on course. #16thJulyByelection #KuraYakoSautiYako #IEBCStrategicPlan #IEBCEOP","IEBC Presents Electoral Reforms and 2027 General Election Preparedness to Senate Committee 12th Jun 2026. The Commission today appeared before the Senate Standing Committee on Justice, Legal Affairs and Human Rights (JLAHRC), led by Chairperson Senator Hillary K. Sigei, CBS, to present submissions on electoral legal reforms and the Commission's preparedness for the 2027 General Election. The Independent Electoral and Boundaries Commission (IEBC) was led by Deputy Commission Secretary – Operations, Ruth Kulundu, who represented the Ag. Commission Secretary/CEO, Moses Sunkuli, OGW. During the session, the Commission outlined a series of strategic, operational, institutional and legal interventions aimed at ensuring timely and effective preparation for the upcoming General Election. Kulundu informed the Committee that the Commission's Strategic Plan 2024–2029 and Election Operations Plan 2025–2027 have been finalised and will be launched soon. The two strategic documents provide a comprehensive framework for delivering the IEBC’s constitutional mandate and identify key interventions aimed at strengthening participation, inclusion, citizen engagement, promoting equitable representation and enhancing institutional resilience. The Election Operations Plan serves as the primary roadmap for planning, coordinating and implementing electoral activities in the lead-up to the 2027 General Election. The Commission reaffirmed its commitment to delivering a credible, transparent, inclusive and efficient electoral process, and emphasized that preparations for the 2027 General Election remain firmly on course. #16 thJulyByelection #KuraYakoSautiYako #IEBCStrategicPlan #IEBCEOP",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?IEBC_Presents_Electoral_Reforms_and_2027_General_Election_Preparedness_to_Senate_Committee,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000015"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 219, ""sentence_count"": 11, ""content_hash"": ""adbcd622626d16ffa4fb34cc9a6ae049dc3e6fc9787fed0187d50b59c3a68452"", ""original_psa_id"": ""psa_2026_000007"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""IEBC""]}",224,1688,10,en,false,0,false,IEBC,1,0,4,0,train,false
psa_2026_000008,Governance,"Accreditation Open for Election Observers and Media Practitioners for Ol-Kalou By-Election4th Jun 2026. PUBLIC NOTICE The Independent Electoral and Boundaries Commission (IEBC) invites applications from eligible organizations to be accredited as: 1. Election Observers 2. Media Practitioners for the Ol-Kalou Constituency Member of National Assembly (MNA) By-Election scheduled for Thursday, 16th July 2026. How to Apply: Submit your application via the IEBC Accreditation Management System (AMS): https://ams.iebc.or.ke Application Deadline: Tuesday, 30th June 2026 at 5.00 p.m. Download the official advert: https://bit.ly/49Le0rr #16thJulyByelection #KuraYakoSautiYako #IEBCStrategicPlan #IEBCEOP","Accreditation Open for Election Observers and Media Practitioners for Ol-Kalou By-Election 4th Jun 2026. PUBLIC NOTICE The Independent Electoral and Boundaries Commission (IEBC) invites applications from eligible organizations to be accredited as: 1. Election Observers 2. Media Practitioners for the Ol-Kalou Constituency Member of National Assembly (MNA) By-Election scheduled for Thursday, 16th July 2026. How to Apply: Submit your application via the IEBC Accreditation Management System (AMS): https://ams.iebc.or.ke Application Deadline: Tuesday, 30th June 2026 at 5.00 p.m. Download the official advert: https://bit.ly/49 Le 0 rr #16 thJulyByelection #KuraYakoSautiYako #IEBCStrategicPlan #IEBCEOP",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Accreditation_Open_for_Election_Observers_and_Media_Practitioners_for_Ol-Kalou_By-Election,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000019"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""high"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 85, ""sentence_count"": 6, ""content_hash"": ""9cf203803caf309f11477867e9118666ab55d146df34592452a6e95bb7252478"", ""original_psa_id"": ""psa_2026_000008"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""IEBC""]}",99,704,11,en,false,0,false,IEBC,1,2,4,0,train,false
psa_2026_000009,Governance,"IEBC Holds Planning Meeting Ahead of Ol-Kalou Parliamentary By-Election19th May 2026. The Commission today held a planning meeting ahead of the Ol-Kalou Constituency parliamentary by-election scheduled for 16th July 2026. The meeting brought together election officials to review preparedness and align operational plans for the upcoming exercise. Speaking during the meeting, Commissioner Ann Nderitu, CBS officially opened the session and emphasized areas critical to the successful conduct of the by-election. These included data protection, photography within the polling booth, access control at polling centres, and the expected conduct of election officials throughout the electoral process. The planning meeting provided a platform for officials to share lessons learned from previous elections, identify emerging issues requiring intervention, and develop appropriate mitigation measures. Participants also reviewed key by-election activities, timelines, budgets, operational procedures, and expectations as part of the Commission’s preparations to deliver a free, fair and credible election. #16thJulyByelection #YourVoteYourFuture #TalkWithIEBC #StopFakeNews","IEBC Holds Planning Meeting Ahead of Ol-Kalou Parliamentary By-Election 19th May 2026. The Commission today held a planning meeting ahead of the Ol-Kalou Constituency parliamentary by-election scheduled for 16th July 2026. The meeting brought together election officials to review preparedness and align operational plans for the upcoming exercise. Speaking during the meeting, Commissioner Ann Nderitu, CBS officially opened the session and emphasized areas critical to the successful conduct of the by-election. These included data protection, photography within the polling booth, access control at polling centres, and the expected conduct of election officials throughout the electoral process. The planning meeting provided a platform for officials to share lessons learned from previous elections, identify emerging issues requiring intervention, and develop appropriate mitigation measures. Participants also reviewed key by-election activities, timelines, budgets, operational procedures, and expectations as part of the Commission’s preparations to deliver a free, fair and credible election. #16 thJulyByelection #YourVoteYourFuture #TalkWithIEBC #StopFakeNews",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?IEBC_Holds_Planning_Meeting_Ahead_of_Ol-Kalou_Parliamentary_By-Election,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000022"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 150, ""sentence_count"": 8, ""content_hash"": ""4db3dc1b76464d11108e1b521b3715696a94aebf2c9b91a2b8f0b9edce537902"", ""original_psa_id"": ""psa_2026_000009"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""IEBC""]}",153,1171,7,en,false,0,false,IEBC,1,0,4,0,train,false
psa_2026_000010,Governance,"IEBC, Ministry of Interior Hold Consultative Meeting Ahead of 2027 General Election15th May 2026. The Commission today, in Nairobi, held a consultative meeting with the Ministry of Interior and National Administration. The engagement focused on strengthening collaboration, particularly in the area of issuance of national identification cards, election security preparedness and conflict management and peacebuilding. While addressing the meeting, the Cabinet Secretary for Interior and National Administration, Kipchumba Murkomen, assured the Commission of the Ministry’s commitment to continuous collaboration and consultation to ensure that the 2027 General Election is credible, peaceful, and reflective of the fundamental principles of good governance. IEBC Chairperson, Erastus Edung Ethekon, thanked the Ministry for its support during the recently concluded Enhanced Continuous Voter Registration drive, as well as the by-elections conducted peacefully on Thursday, May 14. “Today’s engagement is both timely and necessary. Elections are not the responsibility of a single institution. Successful elections require strong coordination, continuous consultation, and mutual support among institutions charged with safeguarding democracy, peace, security, and the rule of law,” said Ethekon. The Chairperson further emphasized that the success of the 2027 General Election will largely depend on how effectively institutions coordinate and collaborate today. He reaffirmed the IEBC’s commitment to working closely with the Ministry of Interior and National Administration, development partners, and all relevant stakeholders to ensure peaceful, transparent, credible, and inclusive elections. #16thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews","IEBC, Ministry of Interior Hold Consultative Meeting Ahead of 2027 General Election 15th May 2026. The Commission today, in Nairobi, held a consultative meeting with the Ministry of Interior and National Administration. The engagement focused on strengthening collaboration, particularly in the area of issuance of national identification cards, election security preparedness and conflict management and peacebuilding. While addressing the meeting, the Cabinet Secretary for Interior and National Administration, Kipchumba Murkomen, assured the Commission of the Ministry’s commitment to continuous collaboration and consultation to ensure that the 2027 General Election is credible, peaceful, and reflective of the fundamental principles of good governance. IEBC Chairperson, Erastus Edung Ethekon, thanked the Ministry for its support during the recently concluded Enhanced Continuous Voter Registration drive, as well as the by-elections conducted peacefully on Thursday, May 14. “Today’s engagement is both timely and necessary. Elections are not the responsibility of a single institution. Successful elections require strong coordination, continuous consultation, and mutual support among institutions charged with safeguarding democracy, peace, security, and the rule of law,” said Ethekon. The Chairperson further emphasized that the success of the 2027 General Election will largely depend on how effectively institutions coordinate and collaborate today. He reaffirmed the IEBC’s commitment to working closely with the Ministry of Interior and National Administration, development partners, and all relevant stakeholders to ensure peaceful, transparent, credible, and inclusive elections. #16 thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]","https://www.iebc.or.ke/news/?IEBC,_Ministry_of_Interior_Hold_Consultative_Meeting_Ahead_of_2027_General_Election",,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000024"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""low"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 229, ""sentence_count"": 11, ""content_hash"": ""486c98d3bdc14960d0d544f183e06724196716292f72b9f1be20c01edf8708b5"", ""original_psa_id"": ""psa_2026_000010"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""IEBC""]}",234,1769,10,en,false,0,false,IEBC,1,0,4,0,train,false
psa_2026_000011,Governance,"Public Notice: No Photos or Videos Allowed Inside Polling Booths14th May 2026. Public Notice DO NOT take Photos or Record videos in the Polling Booth. The secrecy and sanctity of the vote must be preserved at all times. Photography and Video Recording is strictly PROHIBITED in the POLLING BOOTH. Doing so constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence. The offence is punishable by: a fine not exceeding KSh 1 million, or imprisonment for a term not exceeding 3 years, or both. #14thMayByelections #16thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews","Public Notice: No Photos or Videos Allowed Inside Polling Booths 14th May 2026. Public Notice DO NOT take Photos or Record videos in the Polling Booth. The secrecy and sanctity of the vote must be preserved at all times. Photography and Video Recording is strictly PROHIBITED in the POLLING BOOTH. Doing so constitutes an election offence under Section 7(3)(e) of the Election Offences Act, No. 37 of 2016. Section 7(3)(e) of the Election Offences Act states that a person attending any proceedings relating to an election who, without lawful excuse, captures an image of any marked ballot for purposes of financial gain or for showing allegiance, commits an offence. The offence is punishable by: a fine not exceeding KSh 1 million, or imprisonment for a term not exceeding 3 years, or both. #14 thMayByelections #16 thJulyByelections #YourVoteYourFuture #TalkWithIEBC #StopFakeNews",,,"[""Dholuo"", ""Ekegusii"", ""Somali""]",https://www.iebc.or.ke/news/?Public_Notice:_No_Photos_or_Videos_Allowed_Inside_Polling_Booths,,"{""contributor"": ""Iranzi Innocent / data/governance"", ""origin_file"": ""all_psa_export.csv"", ""origin_psa_id"": ""psa_2026_000025"", ""organization"": ""Independent Electoral and Boundaries Commission"", ""urgency"": ""medium"", ""language"": ""en"", ""source_schema"": ""all_psa_export"", ""src_adapter"": ""generic_html"", ""lang_detected"": ""en"", ""token_count"": 136, ""sentence_count"": 9, ""content_hash"": ""7c43397d96e3ac7f7a0984b5faeb7551f4ec129030bda427ccce944ea78858d1"", ""original_psa_id"": ""psa_2026_000011"", ""strict_psa_pass"": true, ""week2_preprocessed"": true, ""lang_primary"": ""en"", ""code_switch"": false, ""glossary_hits"": [""KSh""]}",143,883,8,en,false,0,false,KSh,1,0,5,0,train,false
